analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons         rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             2.137538913    0.154979967819   49.0    63.0    0.0384361584853  0.029894789933    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0164858298486  2.9     3.9     0                0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0159862549835  6.0     8.7     0                0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             13.204965455   1.29414293006    96.0    116.0   0.115443448434   0.0955394056009   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.180345119851   5.6     5.1     0                0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.180345119851   7.22    6.137   0                0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.256960365    0.22082228732    76.0    57.0    0                0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             5.880990555    0.864932915493   67.0    37.0    0.066604486173   0.120608123611    
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.00140691     0.180346491796   27.0    20.0    0                0                 
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00140691     0.180346491796   2.97    2.9     0                0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              4.539395115    0.188989755267   8.4     9.0     0.503506180519   0.469939101818    
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           131.333560671  1.2189526392     5551.0  5525.0  0.0232993115371  0.0234089553561   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.694403436144   5.8     5.4     0                0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              12.3268386     0.718037095592   14.1    14.4    0.790727500938   0.774254011335    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            0.694403436144   6.5     5.9     0                0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0297946      0.694456260155   2.928   2.927   0                0                 
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            0.694403436144   33.0    26.0    0                0                 
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0081258      0.694414001268   21.0    19.0    0                0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.4906385      0.694403436144   66.0    57.0    0                0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             2.9712084      1.20306647186    68.0    54.0    0.0146791086198  0.0184848034471   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            0.694403436144   10.4    11.1    0                0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.694403436144   13.0    11.5    0                0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0013094865   0.0159886870962  20.0    10.2    0                0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0159862549835  115.0   101.0   0                0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.01980594     0.0659814698302  7.2     7.3     0                0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.268075654    0.116928853709   20.0    19.0    0.0038156166959  0.00401643862726  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0664428943137  6.34    3.17    0                0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.008811729    0.0664595723659  6.3     6.1     0                0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              1.865494863    0.0699862025107  8.3     9.1     0.210929818179   0.19238653746     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            177.669257445  4.75456750452    1520.0  722.0   0.111757741275   0.235279455315    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.398657577846   2.87    2.94    0                0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            0.694403436144   21.0    18.0    0                0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            45.7997691     4.73493139733    317.0   216.0   0.119982591825   0.176085563002    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            346.8248737    13.0375654657    1199.0  833.0   0.271428912707   0.390688194881    
