analysis             sr               o       b       db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0   295.0   34.0             0.980220585   0.0614035440251   49.0    63.0    0.0179493627102    0.0139606154413    
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.003991715   0.00565301963621  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.00548171536903  6.0     8.7     0                  0                  
atlas_1704_03848     SRI3             236.0   273.0   37.0             3.819235465   0.407748464646    47.0    64.0    0.0670325102762    0.0492269997341    
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.0618405968346   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.0618405968346   7.22    6.137   0                  0                  
atlas_1709_04183     SRE              3.0     3.6     0.8              0.13123325    0.0757708627427   4.8     5.5     0.0014518823129    0.00126709729126   
atlas_1712_02332     2j-2100          180.0   143.0   13.0             3.866872035   0.41020629035     67.0    37.0    0.0476736375944    0.0863279383467    
atlas_1712_08119     SRI-MLL-60       52.0    43.0    7.0              0.0           0.0618405968346   27.0    20.0    0                  0                  
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.0           0.0618405968346   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-loose  153.0   133.0   22.0             6.913327385   0.0929813647592   61.0    48.0    0.110833408964     0.140850790558     
atlas_1807_07447     MET1g1j          106.0   103.0   21.0             0.532223389   0.0453511344857   44.0    40.0    0.0104056256464    0.0114461882111    
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0           0.238112190373    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC120  57.0    51.0    5.0              6.187351645   0.270104876694    23.0    18.0    0.249755636836     0.319132202623     
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.238112190373    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.02162108    0.238219530803    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0   443.0   31.0             0.937814345   0.243361214742    96.0    73.0    0.00561147867525   0.0073794788058    
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.1685835     0.238112190373    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.1685835     0.238112190373    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0   261.0   22.0             1.413996375   0.476227222863    68.0    54.0    0.00930858425743   0.0117219209168    
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.238112190373    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.238112190373    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.001928789   0.00549229819892  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0           0.00548171536903  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.016169139   0.0227021902991   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.0557554125  0.0311544872494   20.0    19.0    0.000233102670547  0.000245371232155  
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.022783372241    6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.109645128   0.0233959201449   11.1    10.3    0.00642124495156   0.00691998242353   
atlas_conf_2016_096  2LBSF            19.0    20.7    5.0              1.290755263   0.0291312423235   11.9    13.0    0.104452102991     0.0956138481223    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            52.21715959   1.507714474       692.0   350.0   0.0718851269547    0.142127165293     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0           0.136700445504    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0           0.238112190373    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            27.103315735  2.12977834523     317.0   216.0   0.0744810070941    0.1093077743       
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             48.3621768    2.84703577526     310.0   197.0   0.140945284286     0.221792071719     
