analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.7478194225   0.0460617978033   49.0    63.0    0.013719960696     0.0106710805413   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              6.4151e-05     0.0041639560482   2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.00403777706642  6.0     8.7     0                  0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             4.223195325    0.367299758644    96.0    116.0   0.0377169137586    0.0312139975933   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.0455511656921   5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.0455511656921   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.1319923      0.0646086179846   76.0    57.0    0.000342554822437  0.00045673976325  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.590734825    0.287872575611    67.0    37.0    0.0316212507612    0.0572601027297   
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             0.14441275     0.0461579880078   59.0    66.0    0.00116463812995   0.00104111590405  
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0            0.0455511656921   2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             4.19282685     0.0898485038059   61.0    48.0    0.0663192672747    0.084280735495    
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.407570865    0.0340123279911   44.0    40.0    0.00799524197942   0.00879476617736  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.127407125    0.175391053673    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             6.2315075      0.217384599119    36.0    33.0    0.163194354373     0.178030204771    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            0.175391053673    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.008106375    0.175432678448    2.928   2.927   0                  0                 
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             1.439644125    0.184322198054    96.0    73.0    0.0118474554187    0.0155802153451   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.002702125    0.175391053673    21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.127407125    0.175391053673    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             1.060984125    0.351495905701    68.0    54.0    0.00712545352426   0.00897279332684  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            0.175391053673    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.175391053673    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00548362     0.00405737653335  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.00403777706642  115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.01642272     0.016779913405    7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.073954029    0.0264481732621   20.0    19.0    0.00152895124251   0.00160942236053  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0167820102678   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.127206108    0.0177329645875   11.1    10.3    0.00884000415104   0.0095266064152   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             1.631897469    0.0354623571583   17.7    24.6    0.0889118193932    0.0639731383439   
atlas_conf_2017_060  IM6              5097.0   4680.0   160.0            39.39622405    1.12346811564     692.0   350.0   0.0542684051161    0.107296389544    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.100691778817    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            0.175391053673    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            21.718834125   1.63659833471     317.0   216.0   0.0600467282526    0.088124133593    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            147.530951125  4.26769966011     1199.0  833.0   0.11720760941      0.168705790735    
