analysis             sr                o         b         db               s             ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             4.9022733285  0.959163634326  49.0    63.0    0.0679437748613   0.0528451582255   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.274342952802  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000250958   0.266029520069  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            51.0491126    10.3958001839   194.0   284.0   0.175257733497    0.11971831091     
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              6.44154746    3.67531241286   8.0     9.0     0.0517543878631   0.0460039003227   
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           3.00114168236   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.00283112    3.00114193274   76.0    57.0    0                 0                 
atlas_1712_02332     6j-1200           250.0     249.0     30.0             0.00141556    3.00114176582   62.0    64.0    0                 0                 
atlas_1712_08119     SRI-MLL-30        40.0      38.0      6.0              116.73201616  15.7380431459   19.0    18.0    4.7853487053      5.05120141115     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00212334    3.00114184928   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0     133.0     22.0             9.731975      3.00228895909   61.0    48.0    0.0788232968375   0.100171273064    
atlas_1807_07447     MET2m1j           17.0      16.0      5.0              6.084293302   1.05068397389   13.0    13.0    0.335474737294    0.335474737294    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           11.5556458149   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.76851768    11.5557361154   17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.02452716    11.5556483857   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.07903196    11.5556548128   2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-20      23.0      17.8      2.7              147.10387716  34.6669374447   15.7    11.2    5.74841399686     8.0580446206      
atlas_2004_10894     Cat9              71.0      69.0      4.0              40.85592524   18.2701072844   21.0    19.0    0.518711871126    0.573313120719    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.01090096    11.555646779    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             24.64348628   14.1539855659   68.0    54.0    0.021043381645    0.0264990731825   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.08993292    11.5556560983   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           11.5556458149   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.191574412   0.266029904772  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0           0.266029497875  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.0188923635  1.09737188731   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.0020311865  1.23038376038   5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           1.10568526576   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.00677976    1.10568603447   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             9.4616368     2.47221157221   17.7    24.6    0.305492080315    0.2198052773      
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           388.52214558  28.7067310379   3032.0  2741.0  0.112613161833    0.124568809441    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           6.63410806186   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0408786     11.5556503139   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0    2589.0    100.0            24.52740144   14.1514633358   186.0   213.0   0.00709140628662  0.00619249563057  
atlas_conf_2020_048  EM03              141036.0  139200.0  1600.0           1013.749648   90.9884704816   4667.0  3172.0  0.185242887596    0.272549986258    
