analysis             sr               o        b        db               s             ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             6.971959546   1.11338163048   49.0    63.0    0.105020687184   0.0816827566985  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.260015554772  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.000187719   0.25213627891   6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            88.7014228    13.3411743584   194.0   284.0   0.344442767279   0.235288369198   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           2.84441499542   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           2.84441499542   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.0021177     2.8444151706    76.0    57.0    0                0                
atlas_1712_02332     2j-1600          204.0    216.0    18.0             10.0676435    4.49765270751   38.0    43.0    0.0708287647286  0.0625928618532  
atlas_1712_08119     SRI-MLL-05       4.0      3.1      1.2              98.5640058    14.0793628422   6.5     5.5     11.6113616521    13.7225183161    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           2.84441499542   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              7.6907805     2.84536906039   8.4     9.0     0.360044671544   0.336041693441   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           783.49253417  11.8348631136   5551.0  5525.0  0.137647875818   0.138295630527   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0           10.9521655227   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             18.90647756   10.9545109542   36.0    33.0    0.0261410998655  0.0285175634896  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.00543602    10.95216586     6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.06251423    10.9521729426   2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-05     0.0      3.9      1.3              232.34819005  42.4183023512   2.9     5.1     56.1317842048    31.9180733714    
atlas_2004_10894     Cat9             71.0     69.0     4.0              7.75183602    10.95216586     21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0           10.9521655227   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             0.03261612    10.9521692327   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.02174408    10.9521678836   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           10.9521655227   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.002815785   0.252136605015  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.252136263381  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.019358475   1.0400645899    7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.001157598   1.16612886794   5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           1.04793938934   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.0065017125  1.04794016384   6.3     6.1     0                0                
atlas_conf_2016_096  2LBSF            19.0     20.7     5.0              2.22098499    1.04821491324   11.9    13.0    0.0421775237218  0.03860865633    
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            229.434889    21.4746654986   582.0   410.0   0.333705219214   0.47369862825    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00156041    6.28765401279   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.02989811    10.9521688954   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            69.78541234   23.2310061297   317.0   216.0   0.0999576097391  0.146697047626   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            813.65753185  79.3557844961   1199.0  833.0   0.570070096144   0.820545072361   
