analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             1.777740158    0.334804923172   49.0    63.0    0.0250746955918   0.0195025410158  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.0922739273865  2.9     3.9     0                 0                
atlas_1609_01599     3lnoZ2b           10.0     7.7      2.2              0.319373108    0.141487647868   10.2    8.3     0.00856209465648  0.0105220922284  
atlas_1704_03848     SRI2              729.0    765.0    59.0             10.7448165     2.76447856112    96.0    116.0   0.0646986631225   0.0535437212048  
atlas_1706_03731     Rpc3L0bS          9.0      11.0     3.0              6.566095       2.14173827927    8.0     9.0     0.38170552775     0.339293802444   
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.00941998558    7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.71471975     1.00941998558    76.0    57.0    0                 0                
atlas_1712_02332     2j-1200           582.0    517.0    31.0             2.8621175      1.42753682544    128.0   77.0    0.00406997739285  0.006765676705   
atlas_1712_08119     SRI-MT2-999       277.0    289.0    33.0             177.879398     11.2633644403    59.0    66.0    2.7018217003      2.4152648533     
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            1.00941998558    2.97    2.9     0                 0                
atlas_1803_02762     S-3l-slep-b       3.0      2.8      0.4              27.15140275    4.34218601284    5.1     5.0     3.9274936645      4.00604353779    
atlas_1807_07447     MET2m2j           6.0      7.2      1.7              6.219729326    0.625088286491   6.1     7.3     0.851571235435    0.711586922761   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.002713575    3.88669492077    5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              9.75258855     3.89009696847    14.1    14.4    0.239207767497    0.234224272341   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.084120825    3.88672333873    6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.08140725     3.88672239146    2.928   2.927   0                 0                
atlas_1911_12606     S-inc-20          328.0    312.0    24.0             489.73868145   36.6655904118    69.0    59.0    6.22619004601     7.28147649449    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0            3.88669492077    21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            3.88669492077    66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             57.810672975   12.5957924377    68.0    54.0    0.546376079076    0.688029136614   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.187236675    3.88675933451    10.4    11.1    0                 0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            3.88669492077    13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.130539144    0.0894794002917  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             6.2471e-05     0.089478026415   115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.793808372    0.522074131034   7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              10.254792715   1.73117983696    20.0    19.0    0.370782889119    0.39029777802    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.371892317868   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              14.274216828   1.9323394013     11.1    10.3    1.00046668557     1.07817283591    
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             66.829847976   4.13291208766    17.7    24.6    3.39276113854     2.44113301432    
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            57.163418      6.38413440743    582.0   410.0   0.0802292741784   0.113886433102   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            2.23135390672    2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.108543       3.88673186407    21.0    18.0    0                 0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0   100.0            19.263527175   7.27170316706    186.0   213.0   0.0394512579625   0.0344503942771  
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            165.116632425  21.2888051597    1199.0  833.0   0.108592987459    0.156306112801   
