analysis             sr               o         b         db               s             ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             2.731408955   0.430681263049   49.0    63.0    0.0413284017061   0.0321443124381  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0           0.0993145831761  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000187065   0.0963055299902  6.0     8.7     0                 0                
atlas_1704_03848     SRI2             729.0     765.0     59.0             16.1746264    3.5203868977     96.0    116.0   0.108345748831    0.0896654473084  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.77113876    1.08644573934    5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0           1.08644505616    7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.76814       1.08644505616    76.0    57.0    0                 0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             2.31797036    1.33056785868    86.0    67.0    0.00157952409028  0.0020274488323  
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              130.62958792  10.0165132694    19.0    18.0    6.01065821885     6.34458367546    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00211032    1.08644551162    2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              5.05843704    1.08808118823    8.4     9.0     0.38975998706     0.363775987923   
atlas_1807_07447     MET2m1j          17.0      16.0      5.0              3.4959714     0.473304148525   13.0    13.0    0.209211738186    0.209211738186   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0           4.18325523151    5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              10.213923195  4.1865596695     14.1    14.4    0.237444350143    0.232497592848   
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.04875381    4.18327013802    6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.051462355   4.18327101487    2.928   2.927   0                 0                
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             650.90535434  43.8745389812    130.0   63.0    4.45347008008     9.18970016525    
atlas_2004_10894     Cat12            22.0      16.6      1.7              11.87066463   5.9163812123     15.2    9.9     0.142618384331    0.218969640589   
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             2.95765       4.18325523151    66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             32.59588299   9.81007033596    38.0    29.0    0.434404411553    0.56921957376    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.13542725    4.18329819718    10.4    11.1    0                 0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0           4.18325523151    13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00349188    0.0963065998695  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             6.2355e-05    0.0963054896171  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.011317416   0.397262620379   7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              6.31644499    1.40853264108    20.0    19.0    0.200322572931    0.210865866243   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0           0.400268486966   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.0059607375  0.400270332766   6.3     6.1     0                 0                
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             8.3739378625  1.35756133755    17.7    24.6    0.34731848977     0.249899888981   
atlas_conf_2017_060  IM4              41523.0   39900.0   1000.0           351.4903402   16.4229482608    3268.0  2001.0  0.0993135572375   0.162197253899   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0           2.40161092145    2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.04875381    4.18327013802    21.0    18.0    0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            23.724926535  8.36601319712    317.0   216.0   0.0315604570717   0.0463178930172  
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           769.7833117   47.6962807466    3986.0  2400.0  0.173497594399    0.288150588031   
