analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             2.681834748    0.416862318921   49.0    63.0    0.0407791947953  0.0317171515075  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.0949453765052  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              6.2474e-05     0.0920685117087  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            31.71091408    4.81588805054    194.0   284.0   0.122746689057   0.0838480904124  
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.00140956     1.03864494422    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.0386447051     7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.73609956     1.03864494422    76.0    57.0    0                0                
atlas_1712_02332     2j-2100           180.0    143.0    13.0             5.15153148     1.94283591504    67.0    37.0    0.0293325459603  0.0531156913334  
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              123.42076598   9.51989108797    11.4    9.3     9.4568547891     11.5922736124    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            1.0386447051     2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              6.48256644     1.04084153928    8.4     9.0     0.568522180425   0.53062070173    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           405.261306996  5.1426036104     5551.0  5525.0  0.0714875584714  0.0718239705113  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            3.99921327241    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              12.76526832    4.00354100847    14.1    14.4    0.439678089795   0.430518129591   
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.008141115    3.99921511382    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0542741      3.99923076577    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-10      9.0      11.0     2.0              161.246125575  21.3521832709    7.0     8.0     18.0326492872    15.7785681263    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0            3.99921327241    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             2.831573705    3.99921327241    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             42.50536597    10.9510273593    68.0    54.0    0.36096589854    0.454549650013   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.06512892     3.99923444858    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            3.99921327241    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.003373596    0.0920696350991  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             6.2474e-05     0.0920685117087  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0157199745   0.379786752023   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              6.639099814    1.41213598132    20.0    19.0    0.216159840232   0.227536673928   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.382658370818   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.004154504    0.382659692258   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.9342941955   0.383222299551   8.3     9.1     0.157326460751   0.143495563103   
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            140.43365138   10.1501582815    582.0   410.0   0.212693113056   0.301920467801   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.00155794     2.29595163862    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.06512892     3.99923444858    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0   100.0            39.603235935   10.5793361083    186.0   213.0   0.11964045547    0.104474763932   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            481.260690245  36.8716942321    1199.0  833.0   0.35095171952    0.505151394603   
