analysis             sr                 signal_normevents  signal_err_tot   
atlas_1604_01306     SR1                0.70892            0.139030650522   
atlas_1605_09318     SR-Gbb-A           0.0                0                
atlas_1605_09318     SR-Gbb-B           0.0                0                
atlas_1605_09318     SR-Gbb-C           0.0                0                
atlas_1605_09318     SR-Gtt-0L-A        0.0                0                
atlas_1605_09318     SR-Gtt-0L-B        0.0                0                
atlas_1605_09318     SR-Gtt-0L-C        0.0                0                
atlas_1605_09318     SR-Gtt-1L-A        0.0281182          0.0281182        
atlas_1605_09318     SR-Gtt-1L-B        0.0281182          0.0281182        
atlas_1609_01599     2muSS              0.0                0                
atlas_1609_01599     3lZ1b4j            0.0                0                
atlas_1609_01599     3lZ2b3j            0.0                0                
atlas_1609_01599     3lZ2b4j            0.0                0                
atlas_1609_01599     3lnoZ2b            0.0272662          0.0272662        
atlas_1609_01599     4lDF1b             0.0                0                
atlas_1609_01599     4lDF2b             0.0                0                
atlas_1609_01599     4lSF1b             0.0                0                
atlas_1609_01599     4lSF2b             0.0                0                
atlas_1704_03848     SRE1               3.07596            0.972703959157   
atlas_1704_03848     SRE2               2.46077            0.87001357697    
atlas_1704_03848     SRI1               7.38232            1.50690975983    
atlas_1704_03848     SRI2               4.30635            1.15092044911    
atlas_1704_03848     SRI3               1.84558            0.753454879914   
atlas_1706_03731     Rpc2L0bH           0.307596           0.307596         
atlas_1706_03731     Rpc2L0bS           0.922789           0.532772477555   
atlas_1706_03731     Rpc2L1bH           0.0                0                
atlas_1706_03731     Rpc2L1bS           0.0                0                
atlas_1706_03731     Rpc2L2bH           0.0                0                
atlas_1706_03731     Rpc2L2bS           0.0                0                
atlas_1706_03731     Rpc2Lsoft1b        0.0                0                
atlas_1706_03731     Rpc2Lsoft2b        0.0                0                
atlas_1706_03731     Rpc3L0bH           0.307596           0.307596         
atlas_1706_03731     Rpc3L0bS           2.46077            0.87001357697    
atlas_1706_03731     Rpc3L1bH           0.0                0                
atlas_1706_03731     Rpc3L1bS           0.307596           0.307596         
atlas_1706_03731     Rpc3LSS1b          0.0                0                
atlas_1706_03731     Rpv2L0b            0.0                0                
atlas_1706_03731     Rpv2L1bH           0.0                0                
atlas_1706_03731     Rpv2L1bM           0.0                0                
atlas_1706_03731     Rpv2L1bS           0.307596           0.307596         
atlas_1706_03731     Rpv2L2bH           0.0                0                
atlas_1706_03731     Rpv2L2bS           0.0                0                
atlas_1708_07875     sr1-lowmass        0.0                0                
atlas_1708_07875     sr2-highmass       0.0                0                
atlas_1709_04183     SRA-T0             0.0                0                
atlas_1709_04183     SRA-TT             0.0                0                
atlas_1709_04183     SRA-TW             0.0                0                
atlas_1709_04183     SRB-T0             0.0                0                
atlas_1709_04183     SRB-TT             0.0                0                
atlas_1709_04183     SRB-TW             0.0                0                
atlas_1709_04183     SRC1               0.0                0                
atlas_1709_04183     SRC2               0.0                0                
atlas_1709_04183     SRC3               0.0                0                
atlas_1709_04183     SRC4               0.0                0                
atlas_1709_04183     SRC5               0.0                0                
atlas_1709_04183     SRD-high           0.0                0                
atlas_1709_04183     SRD-low            0.0                0                
atlas_1709_04183     SRE                0.0                0                
atlas_1712_02332     2j-1200            0.307596           0.307596         
atlas_1712_02332     2j-1600            0.615193           0.435007142038   
atlas_1712_02332     2j-2000            0.307596           0.307596         
atlas_1712_02332     2j-2100            0.307596           0.307596         
atlas_1712_02332     2j-2400            0.0                0                
atlas_1712_02332     2j-2800            0.0                0                
atlas_1712_02332     2j-3600            0.0                0                
atlas_1712_02332     2j-B1600           0.0                0                
atlas_1712_02332     2j-B2400           0.0                0                
atlas_1712_02332     3j-1300            1.23039            0.615195         
atlas_1712_02332     4j-1000            0.307596           0.307596         
atlas_1712_02332     4j-1400            0.0                0                
atlas_1712_02332     4j-1800            0.0                0                
atlas_1712_02332     4j-2200            0.0                0                
atlas_1712_02332     4j-2600            0.0                0                
atlas_1712_02332     4j-3000            0.0                0                
atlas_1712_02332     5j-1600            0.0                0                
atlas_1712_02332     5j-1700            0.0                0                
atlas_1712_02332     5j-2000            0.0                0                
atlas_1712_02332     5j-2600            0.0                0                
atlas_1712_02332     6j-1200            0.0                0                
atlas_1712_02332     6j-1800            0.0                0                
atlas_1712_02332     6j-2200            0.0                0                
atlas_1712_02332     6j-2600            0.0                0                
atlas_1712_08119     SRE-MLL-03         0.0                0                
atlas_1712_08119     SRE-MLL-05         0.0                0                
atlas_1712_08119     SRE-MLL-10         0.615193           0.435007142038   
atlas_1712_08119     SRE-MLL-20         1.53798            0.687805565607   
atlas_1712_08119     SRE-MLL-30         3.38356            1.02018172506    
atlas_1712_08119     SRE-MLL-40         1.84558            0.753454879914   
atlas_1712_08119     SRE-MLL-60         0.0                0                
atlas_1712_08119     SRE-MT2-102        1.23039            0.615195         
atlas_1712_08119     SRE-MT2-105        6.45953            1.40958500852    
atlas_1712_08119     SRE-MT2-110        6.15193            1.37561336728    
atlas_1712_08119     SRE-MT2-120        8.9203             1.65645812514    
atlas_1712_08119     SRE-MT2-130        3.99875            1.10905370483    
atlas_1712_08119     SRE-MT2-999        4.92154            1.230385         
atlas_1712_08119     SRI-MLL-03         0.0                0                
atlas_1712_08119     SRI-MLL-05         0.0                0                
atlas_1712_08119     SRI-MLL-10         2.15318            0.813825543994   
atlas_1712_08119     SRI-MLL-20         7.68991            1.537982         
atlas_1712_08119     SRI-MLL-30         15.0722            2.15317142857    
atlas_1712_08119     SRI-MLL-40         19.9938            2.47992567643    
atlas_1712_08119     SRI-MLL-60         19.9938            2.47992567643    
atlas_1712_08119     SRI-MT2-102        3.07596            0.972703959157   
atlas_1712_08119     SRI-MT2-105        15.0722            2.15317142857    
atlas_1712_08119     SRI-MT2-110        35.9888            3.32716573699    
atlas_1712_08119     SRI-MT2-120        59.9813            4.29535010942    
atlas_1712_08119     SRI-MT2-130        70.132             4.64460516328    
atlas_1712_08119     SRI-MT2-999        80.2827            4.96937437542    
atlas_1712_08119     SRM-MLL-03         0.0                0                
atlas_1712_08119     SRM-MLL-05         0.0                0                
atlas_1712_08119     SRM-MLL-10         1.53798            0.687805565607   
atlas_1712_08119     SRM-MLL-20         3.99875            1.10905370483    
atlas_1712_08119     SRM-MLL-30         3.99875            1.10905370483    
atlas_1712_08119     SRM-MLL-40         3.07596            0.972703959157   
atlas_1712_08119     SRM-MLL-60         0.0                0                
atlas_1712_08119     SRM-MT2-102        1.84558            0.753454879914   
atlas_1712_08119     SRM-MT2-105        5.53674            1.30502213322    
atlas_1712_08119     SRM-MT2-110        14.7646            2.13108644612    
atlas_1712_08119     SRM-MT2-120        15.0722            2.15317142857    
atlas_1712_08119     SRM-MT2-130        6.15193            1.37561336728    
atlas_1712_08119     SRM-MT2-999        5.22914            1.2682527383     
atlas_1802_03158     SRaaSH             0.0                0                
atlas_1802_03158     SRaaSL             0.0                0                
atlas_1802_03158     SRaaWH             0.0                0                
atlas_1802_03158     SRaaWL             0.0                0                
atlas_1802_03158     SRajH              0.0                0                
atlas_1802_03158     SRajL              0.0                0                
atlas_1802_03158     SRajL200           0.0                0                
atlas_1803_02762     S-2l0j-DF-100      0.0                0                
