analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             2.320187001    0.166924331937   49.0    63.0    0.0417638999311   0.0324830332797   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0176146025119  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0170808395347  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             14.79503592    1.4160013165     96.0    116.0   0.12992493501     0.107524084146    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.192693137109   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.192693137109   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.136896245    0.192693137109   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             5.60276338     0.872435265943   67.0    37.0    0.0622682021471   0.112755933618    
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.1362985      0.192693137109   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.000687245    0.192693137109   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              4.767418565    0.201013823791   8.4     9.0     0.528304273093    0.49308398822     
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           136.490902421  1.28454828909    5551.0  5525.0  0.0242090151734   0.0243229399507   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.741947155746   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              13.021876385   0.764811658898   14.1    14.4    0.834580515206    0.817193421139    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            0.741947155746   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.03704659     0.742008498439   2.928   2.927   0                 0                 
atlas_1911_12606     SR-1L1T-1.5      8.0      6.0      1.9              1.576371185    0.908594449422   9.0     8.0     0.00958625421648  0.0107845359935   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.0            0.741947155746   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.52446        0.741947155746   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             1.58430974     0.908606009448   68.0    54.0    0.00138523359566  0.00174436823158  
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            0.741947155746   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.741947155746   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0015229875   0.0170834465979  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0170808395347  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0251292      0.0705027599863  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.285690296    0.136805984586   20.0    19.0    0.00306642406393  0.00322781480414  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0709922083011  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.00759588     0.0710053010534  6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              1.949862396    0.0743876796954  8.3     9.1     0.220224891723    0.200864461681    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            194.03560644   5.13622916143    1520.0  722.0   0.1221132833      0.25708059642     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00303835     0.425955605913   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            0.741947155746   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            47.89072373    5.00426383704    317.0   216.0   0.125185271411    0.183720977024    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            385.835452725  14.2136807466    1199.0  833.0   0.302356143704    0.435204101201    
