analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.235546683    0.0324301750608   49.0    63.0    0.00372165705919   0.00289462215715  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.00662187760926  2.9     3.9     0                  0                 
atlas_1609_01599     3lnoZ2b          10.0     7.7      2.2              0.034319772    0.0120154883526   10.2    8.3     0.00143278148056   0.00176076760262  
atlas_1704_03848     SRI3             236.0    273.0    37.0             1.03920227     0.229104119068    47.0    64.0    0.014116415207     0.0103667424176   
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              1.30769995     0.245823041176    8.0     9.0     0.113068770309     0.100505573608    
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.0724394153811   7.22    6.137   0                  0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.00210261     0.0724461961615   76.0    57.0    0                  0                 
atlas_1712_02332     3j-1300          405.0    378.0    28.0             1.91973345     0.311597069135    86.0    67.0    0.0163803983328    0.0210255859197   
atlas_1712_08119     SRM-MT2-999      13.0     11.0     1.4              6.55274616     0.577262110624    10.0    8.0     0.560603629858     0.700754537322    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.00070087     0.0724394153811   2.97    2.9     0                  0                 
atlas_1803_02762     S-3l-slep-a      4.0      2.2      0.8              7.90302824     0.614964964018    6.8     5.1     1.01389495574      1.35185994098     
atlas_1807_07447     MET2m2j          6.0      7.2      1.7              1.429213615    0.0792971368539   6.1     7.3     0.212978083698     0.177967987748    
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.278921449159    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              4.331309175    0.299129595168    14.1    14.4    0.272392669427     0.266717822148    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.040479525    0.279104159111    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.03778089     0.279091112367    2.928   2.927   0                  0                 
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             101.591578135  4.45845948325     96.0    73.0    0.982080256067     1.2915028025      
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.008095905    0.278947557908    21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.002698635    0.278921449159    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             11.52073705    1.50218928311     68.0    54.0    0.133193332731     0.167724937513    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.078260415    0.279286749534    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.278921449159    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.046017106    0.0136319448934   20.0    10.2    0.00118303581874   0.00231967807597  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0   2200.0           0.065497177    0.0169936507447   3717.0  3549.0  1.01231072851e-05  1.060230763e-05   
atlas_conf_2016_050  SR1              37.0     24.0     3.0              0.128532199    0.0459268714694   26.0    12.9    0.00204662037655   0.00412497130157  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.842973444    0.195874192669    20.0    19.0    0.0760869884011    0.080091566738    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0266881684526   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              8.9816879305   0.40870844053     11.1    10.3    0.748775323246     0.806932629906    
atlas_conf_2016_096  3LH              0.0      0.98     0.5              1.7007637125   0.160391673227    3.01    3.09    0.477648295152     0.465281996248    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            25.87026826    1.14653113943     1520.0  722.0   0.0157828665732    0.0332270875226   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.160129010696    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-ISR           30.0     23.0     2.2              0.797291905    0.441126315544    18.0    12.0    0.00410248597264   0.00615372895896  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            7.983496225    1.24746965203     317.0   216.0   0.0187307444658    0.0274891018318   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            48.66898955    3.08708805914     1199.0  833.0   0.0363687782594    0.0523483374946   
