analysis             sr                o        b        db               s             ds               s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.73199738    0.0730085525318  49.0    63.0    0.0124951704867   0.00971846593409   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0           0.0107031485422  2.9     3.9     0                 0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.000124354   0.0103790141133  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2              729.0    765.0    59.0             4.9940472     0.641122561065   96.0    116.0   0.0410688145818   0.0339879844815    
atlas_1706_03731     Rpc2L0bS          7.0      6.0      1.8              0.25456387    0.14334336483    8.3     7.3     0.00234707851544  0.00266859612029   
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0           0.117086028109   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.25059779    0.143473069704   76.0    57.0    0.00020134152217  0.000268455362893  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             1.91741924    0.397188454718   67.0    37.0    0.0188959727502   0.0342170317368    
atlas_1712_08119     SRI-MLL-20        34.0     29.0     6.0              28.75821406   1.54224867352    20.0    17.0    1.31144631177     1.54287801385      
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0           0.117086028109   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              2.29157181    0.123757921722   8.4     9.0     0.24864390695     0.232067646486     
atlas_1807_07447     MET2m1j           17.0     16.0     5.0              0.382251857   0.0430069767021  13.0    13.0    0.0239784934776   0.0239784934776    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0           0.450830864996   5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              5.81753397    0.467924352133   14.1    14.4    0.358165817908    0.350704030035     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.013504025   0.45086322341    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.03781127    0.450936021351   2.928   2.927   0                 0                  
atlas_1911_12606     E-high-mm-20      23.0     17.8     2.7              32.23854288   3.20357671318    15.7    11.2    1.71876924015     2.409346167        
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.002700805   0.450830864996   21.0    19.0    0                 0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.32464761    0.450838954817   66.0    57.0    0                 0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             28.484244615  3.00706900031    68.0    54.0    0.34636252139     0.43616021212      
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.051315295   0.450976459574   10.4    11.1    0                 0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0           0.450830864996   13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.010188192   0.0103872054497  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             6.2177e-05    0.0103788278714  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.07345775    0.0524906184299  7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              3.141897275   0.325475993885   20.0    19.0    0.130405832251    0.137269297107     
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0           0.0431370562524  6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.009561614   0.0431649136638  6.3     6.1     0                 0                  
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              1.349068348   0.0559166495476  11.9    13.0    0.105660927962    0.0967203879032    
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            67.08262776   2.35203065627    1520.0  722.0   0.0415955904498   0.0875696641049    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0           0.258822267341   2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.040512075   0.450944109286   21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             9.60026327    1.74588799629    116.0   119.0   0.0580776461731   0.0566135038326    
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            56.95248079   4.2530505106     594.0   381.0   0.0841371682704   0.131174482815     
