analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             1.544957534    0.107756809528   49.0    63.0    0.0279231911505   0.0217180375615   
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.0110294636045  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.010695279224   6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             9.95204215     0.918965192213   96.0    116.0   0.0879681170289   0.0728012002997   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.120655695396   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.120655695396   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0            18.0     18.7     2.7              0.4264055      0.19069565359    10.4    10.8    0.0109292911646   0.0105245026029   
atlas_1712_02332     2j-2100           180.0    143.0    13.0             3.347230825    0.532742177814   67.0    37.0    0.0369184127371   0.0668522609023   
atlas_1712_08119     SRI-MLL-05        4.0      3.1      1.2              2.221810125    0.435047933018   6.5     5.5     0.232051002285    0.274242093609    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0            0.120655695396   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              2.977549125    0.129018728212   8.4     9.0     0.329280763182    0.307328712304    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           97.7154590695  0.859734167612   5551.0  5525.0  0.0173492154629   0.0174308588298   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            0.46457534001    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              8.94768414     0.489886393672   14.1    14.4    0.577607833644    0.56557433711     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            0.46457534001    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0405117      0.464685232735   2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-05      0.0      3.9      1.3              4.27880384     1.18448897589    2.9     5.1     0.805600661909    0.45808665089     
atlas_2004_10894     Cat12             22.0     16.6     1.7              1.00688474     0.568902206882   15.2    9.9     0.00486086320485  0.00746314350643  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.00270078     0.46457534001    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             5.95122392     1.39384174582    68.0    54.0    0.053901815542    0.0678763603122   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            0.46457534001    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.46457534001    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0024248835   0.0107021447632  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.010695279224   115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.013849758    0.0441574193196  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.36136392     0.110650825581   20.0    19.0    0.0089948283024   0.00946824031831  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.0444521802116  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.08837964     0.0447075900853  11.1    10.3    0.0013566839874   0.00146205750098  
atlas_conf_2016_096  2LBSF             19.0     20.7     5.0              2.06167476     0.050086999672   11.9    13.0    0.166347233659    0.152271698503    
atlas_conf_2017_060  IM6               5097.0   4680.0   160.0            66.42783215    2.37664649757    692.0   350.0   0.0903614622745   0.178657519697    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.00155052     0.266713222595   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            0.46457534001    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             19.74059236    2.54433323504    116.0   119.0   0.134205912539    0.130822570206    
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            123.25171204   6.35330725822    594.0   381.0   0.189953347031    0.296147737891    
