analysis             sr               o        b       db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             0.901252728   0.0535400953657   49.0    63.0    0.0166009586041   0.0129118566921   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.00331194    0.00468306307987  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              0.0           0.00454115464851  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0   59.0             5.88506258    0.459646256687    96.0    116.0   0.0534504449899   0.0442348510261   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0           0.051229884098    5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.051229884098    7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.0362306     0.051229884098    76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0   13.0             2.77522096    0.315789280265    67.0    37.0    0.033691440901    0.0610088254153   
atlas_1712_08119     SRI-MT2-102      8.0      12.4    3.1              0.1449044     0.0724555986616   6.6     8.8     0.0039510936659   0.00296332024942  
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.00140321    0.0512346881934   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0   22.0             7.461569175   0.08865146934     61.0    48.0    0.119937389595    0.15242043261     
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.4399805445  0.0374261550414   44.0    40.0    0.00860458295982  0.0094650412558   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0           0.197256396275    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0   12.0             11.81352831   0.266114036185    36.0    33.0    0.316030591407    0.344760645171    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0           0.197256396275    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.01891029    0.197367356755    2.928   2.927   0                 0                 
atlas_1911_12606     SR-1L1T-2.0      8.0      7.6     2.1              0.697376      0.311887737514    8.4     7.8     0.0221285845806   0.0238307833945   
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.14213497    0.197256396275    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0           0.197256396275    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             1.43513505    0.441139459436    68.0    54.0    0.0104656814195   0.0131790062319   
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0           0.197256396275    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0           0.197256396275    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.001741376   0.00455263850454  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0           0.00454115464851  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.0171883475  0.0188478241456   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.134323879   0.0420522583327   20.0    19.0    0.00326790876672  0.00343990396497  
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.0188741678193   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              0.107788662   0.0195966644087   11.1    10.3    0.00681532724052  0.00734467304561  
atlas_conf_2016_096  2LBSF            19.0     20.7    5.0              1.446029626   0.0300173991225   11.9    13.0    0.117378242978    0.107446237803    
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            40.96680741   1.21443520629     692.0   350.0   0.0563224475024   0.111357524776    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.113244936181    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0           0.197256396275    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0   22.0             6.59535605    0.956178079789    85.0    58.0    0.0591438117546   0.0866762758473   
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            74.45181212   3.21398317415     594.0   381.0   0.116466127465    0.181577112111    
