analysis             sr               o        b       db               s             ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0   34.0             0.191580156   0.018528313871    49.0    63.0    0.00328966778064   0.00255863049606   
atlas_1605_09318     SR-Gbb-C         5.0      7.6     1.7              0.009405035   0.00420654779163  5.4     6.9     0.000464129004025  0.000363231394454  
atlas_1609_01599     3lnoZ2b          10.0     7.7     2.2              0.01401148    0.00483467241573  10.2    8.3     0.000596335023353  0.000732845450386  
atlas_1704_03848     SRI2             729.0    765.0   59.0             1.23856306    0.158200824709    96.0    116.0   0.0101991011195    0.00844063540928   
atlas_1706_03731     Rpc3L0bS         9.0      11.0    3.0              0.54517472    0.101027800242    8.0     9.0     0.0474361409504    0.0421654586226    
atlas_1708_07875     sr2-highmass     5.0      3.7     1.4              0.0           0.0291263457478   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.10362679    0.0460355440262   76.0    57.0    0.000370111813119  0.000493482417492  
atlas_1712_02332     3j-1300          405.0    378.0   28.0             2.04379357    0.203812581833    86.0    67.0    0.0198783829743    0.0255155363551    
atlas_1712_08119     SRM-MT2-999      13.0     11.0    1.4              3.14093175    0.25224155337     10.0    8.0     0.272725560247     0.340906950309     
atlas_1802_03158     SRaaSH           0.0      0.48    0.27613402543    0.0           0.0291263457478   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-a      4.0      2.2     0.8              2.34439737    0.206359290241    6.8     5.1     0.294995313824     0.393327085099     
atlas_1807_07447     MET2m2j          6.0      7.2     1.7              0.43051215    0.0271890749574   6.1     7.3     0.0632659126344    0.0528660365849    
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.0           0.112148838655    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0   12.0             3.41662366    0.146857727277    36.0    33.0    0.088216027424     0.0962356662808    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.02426238    0.112407746955    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.01078328    0.112245999252    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0   31.0             46.86986044   1.90521500595     96.0    73.0    0.455680289898     0.599250792195     
atlas_2004_10894     Cat12            22.0     16.6    1.7              0.4891486     0.194284896289    15.2    9.9     0.0112185111898    0.0172243808167    
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.0791985     0.112148838655    66.0    57.0    0                  0                  
atlas_2101_01629     2J_disc_squark   106.0    86.0    12.0             4.93563884    0.619390131397    46.0    31.0    0.0852138918371    0.126446420145     
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.00808746    0.112213621734    10.4    11.1    0                  0                  
atlas_2106_09609     SR12             6.0      5.8     0.8              0.24600196    0.137439401434    6.8     6.6     0.0030296090658    0.00312141540113   
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.011730304   0.00410002043924  20.0    10.2    0.000250313523982  0.000490810831338  
atlas_conf_2016_013  0J_6j_2b         9466.0   9000.0  2200.0           0.023569614   0.00632846077298  3717.0  3549.0  3.54881311066e-06  3.71680426383e-06  
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.116137152   0.0282141367042   7.2     7.3     0.00970360663961   0.00957068052126   
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              1.427710914   0.108467355326    20.0    19.0    0.0624912225632    0.0657802342771    
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0           0.0107307645415   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0    4.0              2.999600611   0.147409338592    11.1    10.3    0.248454891505     0.267752358807     
atlas_conf_2016_096  2LASF            56.0     70.0    12.0             3.3426129035  0.139788975802    17.7    24.6    0.175895987751     0.12655930826      
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            10.09701557   0.452132298961    692.0   350.0   0.0135195355487    0.026730053142     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0           0.0643845871549   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-ISR           30.0     23.0    2.2              0.24584246    0.137347367302    18.0    12.0    0.00114404320133   0.001716064802     
atlas_conf_2019_040  SR-2j-2200       971.0    980.0   50.0             4.41889404    0.587982721212    108.0   115.0   0.0319870590483    0.0300400206714    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            15.94463044   1.11581006348     594.0   381.0   0.0237621244712    0.037046461774     
