analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             0.3615387995  0.0300259088356   49.0    63.0    0.00637339406142  0.00495708426999  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.00367530494828  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00356392928723  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             2.06923623    0.241172709546    96.0    116.0   0.0174345102744   0.0144285602271   
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              0.11248824    0.0569879670487   8.0     9.0     0.00237849675502  0.0021142193378   
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0           0.040205599593    7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.08676822    0.0568899662915   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             1.66355521    0.216528887335    67.0    37.0    0.0195290721608   0.0353634549938   
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              9.00824542    0.50531441824     20.0    17.0    0.408976488704    0.48114881024     
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.040205599593    2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0    133.0    22.0             2.03521977    0.055144154702    61.0    48.0    0.0318816943654   0.0405163199227   
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.372819537   0.0305392834591   44.0    40.0    0.00733488891198  0.00806837780318  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.2188985     0.154808176453    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             2.78736931    0.177404221699    36.0    33.0    0.0693451774004   0.0756492844368   
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.024261435   0.154995827465    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.00539143    0.154831645267    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-20     23.0     17.8     2.7              9.64747179    1.02672159563     15.7    11.2    0.507238749883    0.711040033318    
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.456667005   0.219014788062    15.2    9.9     0.00641333898537  0.00984674268461  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.112263215   0.154808176453    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             15.453802535  1.29505928545     68.0    54.0    0.196028019219    0.246850098275    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.002695715   0.154808176453    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.154808176453    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.002606499   0.00358601430666  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.00356392928723  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.020110398   0.0147834576193   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.647363696   0.137419282503    20.0    19.0    0.0710998036347   0.0748418985629   
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0148126060706   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              0.10847669    0.0156406023637   11.1    10.3    0.00746181100211  0.0080413691382   
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             0.8373108575  0.0207344279766   17.7    24.6    0.0453845421253   0.0326547315292   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            41.85646537   1.08696270345     1520.0  722.0   0.0263643727213   0.0555039425711   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.0888752827954   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0           0.154808176453    21.0    18.0    0                 0                 
atlas_conf_2019_040  SR-2j-2200       971.0    980.0    50.0             7.1689433     0.88259358194     108.0   115.0   0.0529767576446   0.0497520854402   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            72.82590977   2.81416756169     1199.0  833.0   0.0568896371717   0.0818855641883   
