analysis             sr               o       b       db               s              ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0   295.0   34.0             0.5670537995   0.0375971644786   49.0    63.0    0.010314172444    0.0080221341231   
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.00259389     0.00366407517801  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0            0.00355304592175  6.0     8.7     0                 0                 
atlas_1704_03848     SRI3             236.0   273.0   37.0             2.02816825     0.238812238552    47.0    64.0    0.0348194931654   0.0255705652934   
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0            0.0400827684554   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0            0.0400827684554   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0   179.0   26.0             0.0849039      0.056644112584    76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0   143.0   13.0             1.9937894      0.237146672655    67.0    37.0    0.0239532665201   0.0433748339688   
atlas_1712_08119     SRI-MLL-10       12.0    8.9     2.5              5.5359099      0.395741907918    11.4    9.3     0.428674839563    0.52547238398     
atlas_1802_03158     SRaaWH           1.0     2.05    0.640078120232   0.0863783      0.0490722118795   3.53    4.4     0.001671351988    0.00134088011765  
atlas_1803_02762     S-2l0j-SF-loose  153.0   133.0   22.0             2.44247445     0.0575846550374   61.0    48.0    0.0384923871433   0.0489174086612   
atlas_1807_07447     MET2j            6771.0  6770.0  1800.0           19.8930890935  0.223155026829    2712.0  2723.0  0.00720026358757  0.00717117695538  
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0            0.154335585703    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0   144.0   12.0             3.40170838     0.181608034704    36.0    33.0    0.0862186445301   0.0940567031238   
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.00269549     0.154335585703    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.0            0.154335585703    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-10     9.0     11.0    2.0              5.14684443     0.748026812135    7.0     8.0     0.560011494014    0.490010057262    
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.00808647     0.15438265559     21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.108972       0.154335585703    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0   261.0   22.0             5.35342607     0.756178153615    68.0    54.0    0.0604896161481   0.0761721092235   
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0            0.154335585703    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0            0.154335585703    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.002358071    0.00357303980918  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0            0.00355304592175  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.0135666485   0.0147720728548   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.8291033425   0.0965705792692   20.0    19.0    0.0335363796249   0.0353014522368   
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0            0.0147673264282   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.1065182755   0.0156677985598   11.1    10.3    0.00728135908666  0.00784690153999  
atlas_conf_2016_096  2LASF            56.0    70.0    12.0             1.0788521705   0.0222768478412   17.7    24.6    0.0588880305108   0.0423706560992   
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            30.26067285    0.922718065515    692.0   350.0   0.041542507547    0.0821354720644   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0            0.0886041705584   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0            0.154335585703    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            16.46710462    1.33627464333     317.0   216.0   0.0450334832963   0.0660908065044   
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             26.69511383    1.70105154882     310.0   197.0   0.0771141589998   0.121347153756    
