analysis             sr               o       b       db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0   295.0   34.0             0.466700821   0.0291147617939   49.0    63.0    0.00855005329914  0.00665004145489  
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.0           0.00268054970182  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0           0.00259932231014  6.0     8.7     0                 0                 
atlas_1704_03848     SRI3             236.0   273.0   37.0             1.80785155    0.192270652777    47.0    64.0    0.0317559080733   0.0233207449913   
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0           0.0293235883511   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.0293235883511   7.22    6.137   0                 0                 
atlas_1709_04183     SRA-T0           18.0    18.7    2.7              0.10576635    0.0463756391248   10.4    10.8    0.00285675979186  0.00275095387364  
atlas_1712_02332     2j-2100          180.0   143.0   13.0             1.76569265    0.190021396388    67.0    37.0    0.0217023516406   0.0392988529709   
atlas_1712_08119     SRI-MLL-05       4.0     3.1     1.2              0.26953255    0.0747581939495   6.5     5.5     0.0226044787574   0.026714383986    
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.00070095    0.0293235883511   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0   133.0   22.0             2.71758315    0.0525763388976   61.0    48.0    0.0431370156428   0.0548199573793   
atlas_1807_07447     MET2e1j          15.0    16.5    3.4              0.0628894565  0.00327333072572  9.9     10.7    0.00581022162725  0.00537581253363  
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0797435     0.112908117154    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC100  147.0   144.0   12.0             3.7245579     0.150974742021    36.0    33.0    0.0965822034191   0.10536240373     
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.112908117154    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.008096865   0.112972614538    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-05     0.0     3.9     1.3              0.718122      0.239389300969    2.9     5.1     0.112249498762    0.063828146355    
atlas_2004_10894     Cat12            22.0    16.6    1.7              0.247614365   0.13836453449     15.2    9.9     0.00136161371296  0.00209055842798  
atlas_2004_14060     SRA-T0           11.0    17.3    1.7              0.407244865   0.178565682497    6.0     9.6     0.0190661909507   0.0119163693442   
atlas_2101_01629     2J_disc_squark   106.0   86.0    12.0             0.5327271     0.195820468462    46.0    31.0    0.00459959851569  0.0068252107007   
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.0           0.112908117154    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.112908117154    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.002671762   0.0026303275648   20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.000124268   0.00260006482726  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.01537824    0.0109014454063   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.142813093   0.0319013685904   20.0    19.0    0.00452474242559  0.00476288676378  
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.0108034403124   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.116210475   0.012110262758    11.1    10.3    0.00868014811504  0.0093543343764   
atlas_conf_2016_096  2LASF            56.0    70.0    12.0             1.239254155   0.0221176276287   17.7    24.6    0.0679650421293   0.048901676654    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            27.3658687    0.750359704657    692.0   350.0   0.037767743908    0.0746722250982   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.001549475   0.0648206066721   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0           0.112908117154    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            14.582987205  1.07388711825     317.0   216.0   0.0404473575112   0.0593602422734   
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             26.7402003    1.45663046153     310.0   197.0   0.0785526656229   0.12361079362     
