analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons           rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             3.762086284    0.81982007377   49.0     63.0     0.0493383951636    0.0383743073495   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.260918530655  2.9      3.9      0                  0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.17958098     0.253011731906  6.0      8.7      0                  0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            50.5056895     10.0906801675   194.0    284.0    0.175035948584     0.119566809948    
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              30.4419765     7.81666168786   8.0      9.0      2.20283141649      1.95807237021     
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.85428974588   7.22     6.137    0                  0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0014135      2.85428983338   76.0     57.0     0                  0                 
atlas_1712_02332     6j-1200           250.0     249.0     30.0             0.0014135      2.85428983338   62.0     64.0     0                  0                 
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             179.769908     19.0408919826   59.0     66.0     2.5176753415       2.25064916892     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0014135      2.85428983338   2.97     2.9      0                  0                 
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              47.5816385     9.6795226501    5.1      5.0      6.21710222624      6.34144427077     
atlas_1807_07447     3m1j              18.0      21.8      2.5              23.738482072   2.061860231     8.8      11.1     2.31329901059      1.83396678317     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            10.9902078848   5.8      5.4      0                  0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              1.03680768     10.9903359088   17.0     19.0     0                  0                 
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.1224576      10.9902227087   6.5      5.9      0                  0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.05714688     10.9902146229   2.928    2.927    0                  0                 
atlas_1911_12606     S-inc-20          328.0     312.0     24.0             544.43106864   65.0189539684   69.0     59.0     6.34492730626      7.4203387141      
atlas_2004_10894     Cat9              71.0      69.0      4.0              7.77335        10.9902078848   21.0     19.0     0                  0                 
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00544256     10.9902082217   66.0     57.0     0                  0                 
atlas_2101_01629     2J_disc_squark    106.0     86.0      12.0             46.67796176    19.0373157306   46.0     31.0     0.336016607866     0.498605289091    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.12790016     10.9902233825   10.4     11.1     0                  0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            10.9902078848   13.0     11.5     0                  0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.003257696    0.253012057662  20.0     10.2     0                  0                 
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.537798164    0.309846981661  3717.0   3549.0   7.97662471798e-06  8.3542164206e-06  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.7511062      1.04367356845   7.2      7.3      0                  0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              9.945401392    2.86647425265   20.0     19.0     0.262219180883     0.276020190403    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.05158099098   6.34     3.17     0                  0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              38.016479629   5.3100298367    11.1     10.3     2.64036312584      2.84543987348     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             213.819239609  12.5532019398   17.7     24.6     10.9170614931      7.85495887917     
atlas_conf_2017_060  EM5               8583.0    8360.0    190.0            76.7652715     12.4417381526   582.0    410.0    0.0968398985046    0.137465416902    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00156229     6.30948241132   2.87     2.94     0                  0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.1088512      10.9902210241   21.0     18.0     0                  0                 
atlas_conf_2019_040  MB-SSd-4-2200-16  71.0      68.0      4.0              0.0            10.9902078848   21.0     19.0     0                  0                 
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           3235.24484128  158.504077437   20140.0  13460.0  0.147730792169     0.221047411165    
