analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             1.2447756615   0.291969777018  49.0    63.0    0.0156315352488    0.0121578607491    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.100368887457  2.9     3.9     0                  0                  
atlas_1609_01599     3lnoZ2b           10.0     7.7      2.2              1.037472078    0.266520760469  10.2    8.3     0.0588605912579    0.0723347025097    
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            14.81437565    3.38411608762   194.0   284.0   0.047754769414     0.0326212157264    
atlas_1706_03731     Rpc3L0bS          9.0      11.0     3.0              13.383229815   3.20168942524   8.0     9.0     1.0165573947       0.903606573067     
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.0979745187    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.000704285    1.0979745187    76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             3.10846571     1.73561455819   86.0    67.0    0.00304718412287   0.00391131096369   
atlas_1712_08119     SRI-MT2-999       277.0    289.0    33.0             109.5839456    9.21914830266   59.0    66.0    1.60109393871      1.43128094521      
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.000704285    1.0979745187    2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b       3.0      2.8      0.4              77.509631415   7.6860821748    5.1     5.0     12.7263640487      12.9808913297      
atlas_1807_07447     3m1j              18.0     21.8     2.5              24.361283267   1.29523792913   8.8     11.1    2.52694239355      2.00334171741      
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            4.2276583367    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              9.868185615    4.23082120348   14.1    14.4    0.207775804347     0.203447141756     
atlas_1909_08457     Rpc2L0b           6.0      4.8      1.5              11.984536065   5.98007092879   7.5     7.0     0.290295965572     0.311031391685     
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.062371055    4.22767747055   2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40          472.0    443.0    31.0             514.806995905  39.2055129441   96.0    73.0    4.69281202788      6.17136924215      
atlas_2004_10894     Cat9              71.0     69.0     4.0              2.99066        4.2276583367    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.002711785    4.2276583367    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             26.974098195   8.96697177389   68.0    54.0    0.180415654203     0.227190083071     
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.1627071      4.22770965001   10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            4.2276583367    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.1412584815   0.1192191529    20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0   9000.0   2200.0           0.2759127245   0.137613164937  3717.0  3549.0  1.35128151746e-05  1.41524750645e-05  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              1.147391012    0.567775236557  7.2     7.3     0.0300332811176    0.0296218663078    
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              5.423654902    1.31220976396   20.0    19.0    0.163581544455     0.172191099426     
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.404517170152  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              46.44688139    3.64044990258   11.1    10.3    3.64653545493      3.92976150969      
atlas_conf_2016_096  3LH               0.0      0.98     0.5              45.108156051   3.51493970154   3.01    3.09    13.0709817078      12.7325744144      
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            72.35722985    7.4877663015    1520.0  722.0   0.0395245349444    0.0832095472514    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            2.42710231291   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.100336045    4.22768964659   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0   100.0            20.94587071    7.91064859197   186.0   213.0   0.0428624033288    0.0374291409351    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            143.764119575  20.7133976759   1199.0  833.0   0.091571432349     0.131805699143     
