analysis             sr                o         b         db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             2.154137826    0.619694165088  49.0    63.0    0.0232212121481   0.0180609427818   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.260873297907  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.178975462    0.252968211966  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0     765.0     59.0             16.18873616    5.70759265236   96.0    116.0   0.0711279605221   0.0588645190528   
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              10.217771255   4.51358714767   8.0     9.0     0.351936041603    0.31283203698     
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.85379501323   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0            2.85379501323   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             6.06554267     3.49459891884   86.0    67.0    0.00388837724547  0.00499105138971  
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             347.24390663   26.4662181226   59.0    66.0    5.14981879507     4.60362589256     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00141363     2.85379510076   2.97    2.9     0                 0                 
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              18.821317025   6.05352097204   5.1     5.0     1.7438318884      1.77870852617     
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              9.76127745     1.31861893757   6.1     7.3     1.24569547416     1.04092361539     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.002721535    10.9882996442   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.88177734     10.9884085041   17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.078924515    10.9883090811   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.073481445    10.988308407    2.928   2.927   0                 0                 
atlas_1911_12606     E-low-mm-20       17.0      15.6      2.3              170.99488614   36.4539148337   11.4    10.0    9.75530401866     11.1210465813     
atlas_2004_10894     Cat9              71.0      69.0      4.0              7.781914605    10.9883003183   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0            10.9882996442   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             54.48886833    20.5557772671   68.0    54.0    0.305549906058    0.38476654837     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.133355215    10.9883158216   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            10.9882996442   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.360833008    0.309771010219  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             6.2654e-05     0.252968196448  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.013956192    1.0434970089    7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              14.0790624     3.41073956679   20.0    19.0    0.424272475523    0.446602605814    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.05139723191   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              13.444806628   3.15436621513   11.1    10.3    0.745193336504    0.803072430601    
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             57.573312384   6.43862975117   17.7    24.6    2.65615590916     1.91113656878     
atlas_conf_2017_060  IM3               76808.0   73000.0   1900.0           577.603013825  34.1270154955   6874.0  3767.0  0.0758851772494   0.138474836319    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.001562435    6.30839046598   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.051709165    10.9883057108   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-10  6986.0    6890.0    300.0            69.938857675   23.3084202874   652.0   581.0   0.0486396447908   0.054583560075    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           777.54798077   77.6943999835   3986.0  2400.0  0.163103152232    0.270887151999    
