analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0     295.0     34.0             4.131815548    0.859087445752  49.0    63.0    0.0555696354483   0.0432208275709   
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.261275348787  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.000250884    0.25335822688   6.0     8.7     0                 0                 
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            46.61351232    9.69365660199   194.0   284.0   0.158329461303    0.108154632017    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00283028     2.85819481951   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            2.85819455676   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00070757     2.85819455676   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300          405.0     378.0     28.0             6.0722764      3.49767107063   86.0    67.0    0.00390809121122  0.00501635588305  
atlas_1712_08119     SRI-MLL-20       34.0      29.0      6.0              222.23726724   21.1873963647   20.0    17.0    9.37449686009     11.0288198354     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00070757     2.85819455676   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             10.5569444     2.85950090064   61.0    48.0    0.0961862774254   0.122236727561    
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              2.576268079    0.671944726906  6.1     7.3     0.241685037192    0.201955989983    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            11.0052318191   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.934484635    11.0053471514   17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.04904001     11.005237552    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.07083557     11.0052402499   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             1517.45132447  108.658305389   130.0   63.0    10.3019361818     21.2579635497     
atlas_2004_10894     Cat9             71.0      69.0      4.0              7.803824445    11.0052318191   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0            11.0052318191   66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark   106.0     86.0      12.0             54.576657795   20.5961829284   46.0    31.0    0.452150386791    0.670932832013    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.08718224     11.0052422733   10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            11.0052318191   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.182604608    0.253358568477  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0            0.25335820359   115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.015006021    1.04510534012   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              4.99524578     2.03125445982   20.0    19.0    0.0831994232945   0.08757834031     
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.0530160681    6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.004170952    1.05301655211   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             13.0357859295  2.88055620637   17.7    24.6    0.46958608763     0.337872916709    
atlas_conf_2017_060  IM4              41523.0   39900.0   1000.0           495.68602606   31.6385755087   3268.0  2001.0  0.13580133483     0.221788486869    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            6.31811762175   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.035417785    11.0052358659   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            46.704364455   19.0458997816   317.0   216.0   0.0487983874235   0.0716161519131   
atlas_conf_2020_048  EM03             141036.0  139200.0  1600.0           1440.59612235  105.868992275   4667.0  3172.0  0.271474389334    0.399423384306    
