analysis             sr                o         b         db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             11.5399783292  1.48856762771   49.0    63.0    0.185688314689   0.144424244758   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.280263558571  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.271770851952  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            136.683643288  17.2073176182   194.0   284.0   0.559090940176   0.381914233782   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.000255008    3.0659162048    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            3.0659162048    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.000510016    3.06591621541   76.0    57.0    0                0                
atlas_1712_02332     2j-1200           582.0     517.0     31.0             21.68846024    6.85607465309   128.0   77.0    0.0815976391323  0.135642828687   
atlas_1712_08119     SRI-MLL-10        12.0      8.9       2.5              17.343715056   6.13129853669   11.4    9.3     0.639332057529   0.783697360842   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.000510016    3.06591621541   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-loose   153.0     133.0     22.0             6.033744288    3.06616711269   61.0    48.0    0.0164791839868  0.0209422963166  
atlas_1807_07447     MET1j             18952.0   18500.0   3200.0           772.184135044  12.1995861182   5551.0  5525.0  0.135502938896   0.136140599785   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.8050424115   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.240561825    11.805052375    17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0            11.8050424115   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.030438435    11.8050436365   2.928   2.927   0                0                
atlas_1911_12606     E-med-mm-05       6.0       6.2       1.9              41.7342        18.6641027633   6.9     7.2     1.61232919829    1.54514881503    
atlas_2004_10894     Cat12             22.0      16.6      1.7              25.075679745   14.4564774857   15.2    9.9     0.0899379387155  0.138086532169   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.000981885    11.8050424115   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             33.418133355   16.6977764326   68.0    54.0    0.0887320589059  0.11173666677    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0            11.8050424115   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.8050424115   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0008589729   0.271770886735  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0            0.271770851952  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.011282524    1.1210582354    7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.00104546     1.25693899204   5.0     5.6     0                0                
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.12954658772   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.00140925     1.12954664242   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              0.7125168      1.1295762152    8.3     9.1     0                0                
atlas_conf_2017_060  EM5               8583.0    8360.0    190.0            188.682597304  20.2210256152   582.0   410.0   0.267216692947   0.379317354378   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            6.7772865949    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.000981885    11.8050424115   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             133.57839639   33.3911647199   116.0   119.0   0.679455915943   0.662326775205   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           2179.19109972  134.859865852   3986.0  2400.0  0.491224515736   0.815842049885   
