analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             7.8628525352   1.22607761423   49.0    63.0    0.119430311181   0.0928902420295  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.279256623971  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.270794323471  6.0     8.7     0                0                
atlas_1704_03848     SRI2              729.0    765.0    59.0             47.606861068   10.1320794943   96.0    116.0   0.322815111431   0.267157333598   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            3.05489932282   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            3.05489932282   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0            3.05489932282   76.0    57.0    0                0                
atlas_1712_02332     2j-2100           180.0    143.0    13.0             23.772549156   7.16446156788   67.0    37.0    0.179445256488   0.324941410397   
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.0            3.05489932282   27.0    20.0    0                0                
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.000510436    3.05489933348   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             6.496829408    3.05517068512   61.0    48.0    0.0243663849903  0.0309656142584  
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           870.833244079  12.9321757918   5551.0  5525.0  0.153057913129   0.153778185662   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0            11.7626153877   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.372441405    11.7626309042   17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            11.7626153877   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.03144624     11.7626166602   2.928   2.927   0                0                
atlas_1911_12606     VBF-inc-40        82.0     74.0     10.0             0.0            11.7626153877   33.0    26.0    0                0                
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.000982695    11.7626153877   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            11.7626153877   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             8.31855        11.7626153877   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            11.7626153877   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            11.7626153877   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0008596816   0.270794358437  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0            0.270794323471  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.013624793    1.11702776832   7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass    3.0      3.8      1.2              0.000627792    1.25242403255   5.0     5.6     0                0                
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            1.12549127121   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.001692495    1.12549133798   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.0981471725   1.12553713788   8.3     9.1     0                0                
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            367.31730239   28.1650028504   582.0   410.0   0.551764085421   0.783235848086   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            6.75293702017   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            11.7626153877   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             83.19586929    26.3020079121   99.0    76.0    0.404652286002   0.527112846239   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            1397.68652403  107.807019931   1199.0  833.0   1.018251052      1.46564587196    
