analysis             sr                o         b         db               s             ds               s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             0.6663204692  0.144754578341   49.0     63.0     0.00875352981064   0.00680830096383   
atlas_1605_09318     SR-Gbb-C          5.0       7.6       1.7              0.0979145448  0.0564237585699  5.4      6.9      0.000996218656558  0.000779649383393  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0           0.0446723606466  6.0      8.7      0                  0                  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            7.1587625625  1.59364930357    194.0    284.0    0.0234287510549    0.0160041468474    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0007621815  0.503960146914   5.6      5.1      0                  0                  
atlas_1708_07875     sr1-lowmass       10.0      14.0      6.0              1.784783726   0.796816604794   9.386    11.191   0.0509273912356    0.042713295875     
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             1.783194363   0.796787291842   76.0     57.0     0.00626925268921   0.00835900358561   
atlas_1712_02332     3j-1300           405.0     378.0     28.0             6.782500783   1.55333222475    86.0     67.0     0.0492446038886    0.0632094915585    
atlas_1712_08119     SRM-MT2-999       13.0      11.0      1.4              2.852860484   1.00792016575    10.0     8.0      0.119987141217     0.149983926522     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0022865445  0.503960531151   2.97     2.9      0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              1.8589606785  0.504428314547   8.4      9.0      0.122821219362     0.114633138071     
atlas_1807_07447     MET5j             72.0      107.0     44.0             4.122965815   0.36128121647    37.0     46.0     0.0954179627024    0.0767492308693    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.00097824    1.9404568257     5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-1J-INC100   120.0     124.0     12.0             4.0450224     1.94147591748    29.0     32.0     0.0296897205286    0.026906309229     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0           1.9404568257     6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.05478144    1.94047038752    2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-30          419.0     388.0     28.0             20.71235916   5.31407444106    91.0     69.0     0.131838209634     0.173873580821     
atlas_2004_10894     Cat9              71.0      69.0      4.0              1.37321324    1.9404568257     21.0     19.0     0                  0                  
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             4.1208462     2.74409588037    66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             9.63351396    3.63040740251    68.0     54.0     0.0541124385276    0.068141589257     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00391296    1.94045756544    10.4     11.1     0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           1.9404568257     13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0016440038  0.0446727693625  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.1628247202  0.0706326884112  3717.0   3549.0   1.26411383389e-05  1.323953542e-05    
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.1435973425  0.18427679065    7.2      7.3      0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.77946403    0.636816739112   20.0     19.0     0.0867542288928    0.0913202409398    
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.185669294546   6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              3.8243778715  0.707024239839   11.1     10.3     0.240077307943     0.258724089142     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             8.9754854785  1.05850467149    17.7     24.6     0.409013436003     0.294290155173     
atlas_conf_2017_060  EM5               8583.0    8360.0    190.0            20.722168826  2.71388432899    582.0    410.0    0.0279577294269    0.0396863378694    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00112322    1.1140152018     2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0048912     1.94045781202    21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             16.48315656   4.75291388832    141.0    120.0    0.0616197005897    0.0724031481929    
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1121.8478324  39.1951629125    20140.0  13460.0  0.0525108125732    0.0785711564059    
