analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             2.8229537667   0.429682011267   49.0    63.0    0.0432301075147  0.0336234169559  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              6.973035e-05   0.0955573739437  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              4.50782e-05    0.0926614145857  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            34.0588079425  5.01363911974    194.0   284.0   0.133177524671   0.0909733795286  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0            1.04533737155    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.04533737155    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.000508539    1.04533740247    76.0    57.0    0                0                
atlas_1712_02332     4j-1000          135.0     120.0     11.0             3.6993884255   1.65339373468    43.0    31.0    0.0229726209448  0.0318652484073  
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              23.6576098865  4.1818001728     19.0    18.0    0.884181979111   0.933303200172   
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0007628085   1.0453374334     2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              2.798998656    1.04567770163    8.4     9.0     0.129058003015   0.120454136147   
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             2.4343358932   0.399815920934   18.0    20.0    0.0988132101594  0.0889318891434  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            4.02498693203    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.140003435    4.02500384027    17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.000979045    4.02498693203    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.030350395    4.0249905042     2.928   2.927   0                0                
atlas_1911_12606     E-inc-30         453.0     366.0     27.0             96.791745225   16.5988103766    142.0   70.0    0.489927438081   0.993852802963   
atlas_2004_10894     Cat12            22.0      16.6      1.7              11.41179326    5.69219329677    15.2    9.9     0.136618174559   0.209757197302   
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0            4.02498693203    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             19.944859945   7.53068010312    68.0    54.0    0.111684479057   0.140639714368   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00391618     4.02498728925    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.02498693203    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0013298069   0.0926615708352  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             2.25391e-05    0.0926614118445  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.011900672    0.382230555868   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              2.7296300745   0.908938794634   20.0    19.0    0.061948522565   0.065208971121   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.385124369149   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.00234195     0.385124642584   6.3     6.1     0                0                
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             1.626601042    0.544537813225   17.7    24.6    0.0414440128989  0.0298194726956  
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            145.724335999  10.3747690362    1355.0  1235.0  0.0949887193941  0.104218392534   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00112414     2.31074769828    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.0            4.02498693203    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            25.658588935   8.5388338049     317.0   216.0   0.0367662507728  0.0539578772915  
atlas_conf_2020_048  EM03             141036.0  139200.0  1600.0           754.533002435  46.3299762749    4667.0  3172.0  0.145393580747   0.213919243803   
