analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             4.2977715499   0.516453535379   49.0    63.0    0.0704242398342   0.05477440876    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              2.321665e-05   0.0906854270281  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0            0.087937608542   6.0     8.7     0                 0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            49.8816735035  5.91025470419    194.0   284.0   0.207159050457    0.141510055594   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0002539765   0.99204653355    5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            0.99204653355    7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             1.402157953    1.21462425048    76.0    57.0    0                 0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             11.240990402   2.80593201416    86.0    67.0    0.0772007197533   0.0990934611758  
atlas_1712_08119     SRI-MLL-10       12.0      8.9       2.5              16.839733859   3.43708674718    11.4    9.3     0.9827115433      1.20461414985    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0002539765   0.99204653355    2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              3.567353919    0.992503039939   8.4     9.0     0.230910587321    0.215516548167   
atlas_1807_07447     MET1g2j          38.0      43.0      10.0             1.936335016    0.347386858503   18.0    20.0    0.075923364892    0.0683310284028  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            3.8197926395     5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-1J-INC100  120.0     124.0     12.0             6.95493148     3.82068268563    29.0    32.0    0.023759030192    0.0215316211115  
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            3.8197926395     6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.028359535    3.81979614452    2.928   2.927   0                 0                
atlas_1911_12606     E-inc-20         383.0     301.0     23.0             108.026565405  17.0794247908    130.0   63.0    0.615510067293    1.27010013886    
atlas_2004_10894     Cat12            22.0      16.6      1.7              13.537489515   6.03622349902    15.2    9.9     0.23934756425     0.36748312895    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.0            3.8197926395     66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             16.24431911    6.61814665992    68.0    54.0    0.0792729204079   0.0998251590322  
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.000977915    3.8197926395     10.4    11.1    0                 0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            3.8197926395     13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0010356049   0.0879377382241  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             4.50263e-05    0.0879376114239  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.010772514    0.36274448938    7.2     7.3     0                 0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              0.8653068345   0.497962498219   20.0    19.0    0.00243241687102  0.0025604388116  
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.365491294033   6.34    3.17    0                 0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.00149712     0.365491473695   6.3     6.1     0                 0                
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             0.95931851     0.365581018459   17.7    24.6    0.0203257423575   0.0146246195011  
atlas_conf_2017_060  EM4              27843.0   27640.0   610.0            249.134913402  13.2166358517    1355.0  1235.0  0.167866886055    0.184177838546   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            2.19294776552    2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.000977915    3.8197926395     21.0    18.0    0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            56.78612156    12.3780980455    317.0   216.0   0.115097920395    0.168916855395   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           1069.94045345  53.7454270604    3986.0  2400.0  0.246311578794    0.409082480446   
