analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             4.430659474    0.540034615261   49.0    63.0    0.072346993979    0.0562698842059   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0962199133055  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0933045118803  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             27.603055032   4.52728860981    96.0    116.0   0.210190642832    0.173950876827    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            1.0525885966     5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.0525885966     7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.000254508    1.0525885966     76.0    57.0    0                 0                 
atlas_1712_02332     2j-1200          582.0    517.0    31.0             17.87347532    3.64633023997    128.0   77.0    0.0929179197378   0.154460957486    
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              1.489348524    1.05258865814    27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.000254508    1.0525885966     2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              4.270135224    1.05310468259    8.4     9.0     0.302743279113    0.282560393838    
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           430.918355782  5.3394671248     5551.0  5525.0  0.0760514555391   0.0764093447416   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            4.05290291231    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              7.80832128     4.05384667924    14.1    14.4    0.0822704061028   0.080556439309    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            4.05290291231    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.0293988      4.05290634803    2.928   2.927   0                 0                 
atlas_1911_12606     E-high-mm-03     5.0      3.5      1.3              8.598035       4.96407799393    7.4     6.1     0.0617496067512   0.0749093590096   
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.00097996     4.05290291231    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00097996     4.05290291231    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             14.33926448    7.01896890665    68.0    54.0    0.0415905216631   0.0523732495017   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            4.05290291231    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            4.05290291231    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00090241     0.0933046182504  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0            0.0933045118803  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.01209793     0.384881104431   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.9179690375   0.528483896643   20.0    19.0    0.00256277235024  0.00269765510551  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.387795408003   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.001312724    0.387795555371   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.97657289     0.387913442677   8.3     9.1     0.041011426989    0.0374060268142   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            324.684074536  15.5411141595    1520.0  722.0   0.196839899549    0.414399788524    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            2.32677386171    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.00097996     4.05290291231    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            108.95268792   17.6661951196    317.0   216.0   0.252303242662    0.370278370017    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            728.17795908   45.6731661377    1199.0  833.0   0.544849013023    0.78424245692     
