analysis             sr                o         b         db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             0.7641747668   0.106672569384   49.0    63.0    0.0120251378165   0.00935288496842  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              2.31751e-05    0.0217854088189  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0001348368   0.0211252778884  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            8.955002521    1.22679334236    194.0   284.0   0.0357889764924   0.024447399435    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0007605645   0.238319455987   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            0.238319186294   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.339722215    0.291925300816   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.8892991825   0.808069744246   86.0    67.0    0.0298147069993   0.0382696239095   
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             7.5927217955   1.13045897429    59.0    66.0    0.0972672725027   0.0869510466312   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0002535215   0.238319186294   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              1.895326734    0.239325043318   8.4     9.0     0.1789087694      0.166981518107    
atlas_1807_07447     MET1b2j           379.0     350.0     94.0             8.54023511455  0.357429436766   170.0   158.0   0.0467885343427   0.050342093913    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            0.917627226137   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              3.41852983     0.919443213266   11.0    15.0    0.173694814568    0.12737619735     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.004880825    0.917629303009   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.03514194     0.917645398606   2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             15.70249145    3.17937374804    96.0    73.0    0.109253317742    0.143675595934    
atlas_2004_10894     Cat12             22.0      16.6      1.7              1.959565145    1.12403441893    15.2    9.9     0.00764136170702  0.0117321917118   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.65696432     0.91763086066    66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark    106.0     86.0      12.0             5.85233898     1.9468781155     46.0    31.0    0.0578143232736   0.0857889958253   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.000976165    0.917627226137   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            0.917627226137   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0318171336   0.0258699252807  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             4.49456e-05    0.0211252300758  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.0750320725   0.087148876602   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              0.971108606    0.258484935444   20.0    19.0    0.0273596655936   0.0287996479932   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.0878018613429  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              1.5073081575   0.304191618839   11.1    10.3    0.0908499011355   0.0979062041364   
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             4.2342724625   0.484962479534   17.7    24.6    0.194290056275    0.139794064881    
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            43.7527031805  2.71193947523    1355.0  1235.0  0.0290074704363   0.0318260100738   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.001681245    0.526811410185   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.002928495    0.917628264574   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             14.289562475   3.04342583271    141.0   120.0   0.0659457029032   0.0774862009113   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           175.5980593    10.6616262841    3986.0  2400.0  0.0396670828384   0.0658804134142   
