analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             2.3141877326   0.185801072896   49.0    63.0    0.0410096729194    0.0318964122706   
atlas_1605_09318     SR-Gbb-C          5.0      7.6      1.7              0.0463249055   0.026732355157   5.4     6.9     0.000459970933802  0.00035997725254  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.021173950989   6.0     8.7     0                  0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             13.400084812   1.5014771842     96.0    116.0   0.113933981562     0.0942901916372   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.23886875739    5.6     5.1     0                  0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.23886875739    7.22    6.137   0                  0                 
atlas_1709_04183     SRA-T0            18.0     18.7     2.7              0.507427114    0.292671095962   10.4    10.8    0.00263908813675   0.00254134413169  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             6.765888201    1.06806070064    67.0    37.0    0.0748398306261    0.135520774377    
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.0            0.23886875739    27.0    20.0    0                  0                 
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.000506614    0.238868891699   2.97    2.9     0                  0                 
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              3.77934044     0.240864178493   8.4     9.0     0.402895617532     0.376035909697    
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           165.44839908   1.57573412836    5551.0  5525.0  0.0293396136029    0.0294776823728   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.64957        0.9197420485     5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              8.14404725     0.9240495976     14.1    14.4    0.470113894322     0.460319854857    
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            0.9197420485     6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.02145737     0.919752908462   2.928   2.927   0                  0                 
atlas_1911_12606     VBF-inc-40        82.0     74.0     10.0             0.0            0.9197420485     33.0    26.0    0                  0                 
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.000975335    0.9197420485     21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.65114        0.9197420485     66.0    57.0    0                  0                 
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             2.60494067     1.30149644112    46.0    31.0    0.0102279675339    0.0151769840825   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            0.9197420485     10.4    11.1    0                  0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            0.9197420485     13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0009206058   0.0211744272038  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             2.24538e-05    0.021173950989   115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.010558908    0.0873481986544  7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.347769886    0.154877819014   20.0    19.0    0.00468851314083   0.00493527699035  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.0880045020654  6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.002053117    0.088005541181   6.3     6.1     0                  0                 
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              1.1708934055   0.0885575563258  8.3     9.1     0.123573375075     0.112709781662    
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            223.992208978  6.14830065326    1520.0  722.0   0.14072960257      0.296272847516    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.00055994     0.528025953012   2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            0.9197420485     21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-SSd-2-1600-22  638.0    608.0    30.0             21.4788667     3.73560033298    99.0    76.0    0.155075577312     0.20200634413     
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            451.64253849   17.1332521281    1199.0  833.0   0.353247710592     0.508456188475    
