analysis             sr               o        b        db               s              ds                s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.5417916157   0.0407176624663   49.0    63.0    0.00969417651541  0.00753991506754   
atlas_1605_09318     SR-Gbb-C         5.0      7.6      1.7              0.0190635846   0.00774565167819  5.4     6.9     0.00117791034218  0.000921842876489  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              6.70797e-05    0.00435386938109  6.0     8.7     0                 0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             3.2443151175   0.334540902856    96.0    116.0   0.0280798753835   0.0232385175588    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0007567425   0.0491170753075   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.0491157798387   7.22    6.137   0                 0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.0697065975   0.0491157798387   76.0    57.0    0                 0                  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             2.9321409      0.318848013346    86.0    67.0    0.0280143041641   0.0359586590763    
atlas_1712_08119     SRI-MLL-20       34.0     29.0     6.0              1.8098820425   0.250898263832    20.0    17.0    0.0699204444908   0.0822593464597    
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0002522475   0.0491157798387   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.0263041675   0.0540687188756   8.4     9.0     0.230670412922    0.215292385394     
atlas_1807_07447     MET2j            6771.0   6770.0   1800.0           21.7613108945  0.258918535451    2712.0  2723.0  0.00786750903258  0.00783572695423   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            0.189116082342    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              4.051104605    0.199245087435    11.0    15.0    0.338576605601    0.248289510774     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.000971255    0.189116082342    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.01748259     0.189158476725    2.928   2.927   0                 0                  
atlas_1911_12606     E-high-mm-20     23.0     17.8     2.7              2.668875255    0.596603147032    15.7    11.2    0.107671725724    0.150932686952     
atlas_2004_10894     Cat9             71.0     69.0     4.0              0.136279255    0.189116082342    21.0    19.0    0                 0                  
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.0            0.189116082342    66.0    57.0    0                 0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             6.47126824     0.927407776226    68.0    54.0    0.0727988159851   0.0916725830924    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.00777004     0.189133540003    10.4    11.1    0                 0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.189116082342    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0010956351   0.00435650972494  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             2.23599e-05    0.00435375454721  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.0109759055   0.0179871583008   7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              1.0761860085   0.123407421332    20.0    19.0    0.0436898918758   0.0459893598692    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0180952908539   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.00557601     0.0181093653279   6.3     6.1     0                 0                  
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.515226068    0.0193426430153   8.3     9.1     0.0582535100548   0.0531323223577    
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            38.622840475   1.1566929483      1520.0  722.0   0.0241617526578   0.0508668477005    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.108571605395    2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.01165506     0.189143515087    21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            13.98615028    1.3662352185      317.0   216.0   0.0370521278286   0.054377428341     
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            80.777274805   3.28414512827     1199.0  833.0   0.0628784627145   0.0905057344473    
