analysis             sr               o       b       db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0   295.0   34.0             0.713000785    0.0467044644959   49.0    63.0    0.0129878665965    0.0101016740195    
atlas_1605_09318     SR-Gbb-C         5.0     7.6     1.7              0.01277515155  0.00635340312428  5.4     6.9     0.000436216745588  0.000341387018286  
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              4.48075e-05    0.00435642776725  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0   765.0   59.0             4.26491402     0.383640824553    96.0    116.0   0.0378723236222    0.0313426126529    
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.000505484    0.0491459329146   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0            0.0491452830242   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0   179.0   26.0             0.105119584    0.0604030331279   76.0    57.0    7.97185482932e-05  0.000106291397724  
atlas_1712_02332     2j-2100          180.0   143.0   13.0             2.230941324    0.278190706232    67.0    37.0    0.026488187549     0.0479650963724    
atlas_1712_08119     SRI-MLL-10       12.0    8.9     2.5              1.359289052    0.217430284308    11.4    9.3     0.0879564373452    0.107817568359     
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.0            0.0491452830242   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0     9.8     2.9              2.254205898    0.0546344897668   8.4     9.0     0.257691111284     0.240511703865     
atlas_1807_07447     MET1g1j          106.0   103.0   21.0             0.38891531375  0.0345452456722   44.0    40.0    0.0075513888829    0.00830652777119   
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0            0.189229611244    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0    37.3    3.0              5.00106924     0.20167731472     14.1    14.4    0.33122825843      0.324327669712     
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0            0.189229611244    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.02043636     0.189279651784    2.928   2.927   0                  0                  
atlas_1911_12606     E-high-mm-10     9.0     11.0    2.0              2.01882132     0.52077937995     7.0     8.0     0.166391876698     0.14559289211      
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.0            0.189229611244    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.40378066     0.232574594478    66.0    57.0    0.000338762500848  0.000392251316772  
atlas_2101_01629     2J_disc_squark   106.0   86.0    12.0             2.56000924     0.584224046998    46.0    31.0    0.0348235174549    0.0516736065459    
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.00389264     0.189237118169    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0            0.189229611244    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.00073932375  0.00435821324165  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             0.0            0.00435637015912  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.01108986     0.0179982542062   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.675176148    0.097827317087    20.0    19.0    0.0257369673989    0.0270915446304    
atlas_conf_2016_066  SRL              3.0     0.78    0.18             9.31155e-05    0.0181061607041   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_t_sf          5.0     4.7     2.0              0.003538389    0.018115017632    6.3     6.1     0                  0                  
atlas_conf_2016_096  2LCSF            9.0     10.2    3.3              0.6688486365   0.0197510647854   8.3     9.1     0.0766815530424    0.0699403176101    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            28.690167276   0.997253145103    692.0   350.0   0.0390963469914    0.0772990631944    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0            0.108636822823    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.0048658      0.189239620411    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            21.87207984    1.70952764442     317.0   216.0   0.0601528533223    0.088279881959     
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             29.92418384    1.9991786826      310.0   197.0   0.085953325163     0.135256501526     
