analysis             sr               o       b       db               s             ds                s95obs  s95exp  robscons          rexpcons           
atlas_1604_01306     SR1              264.0   295.0   34.0             0.5126059864  0.0311022109827   49.0    63.0    0.0094203747018   0.0073269581014    
atlas_1605_09318     SR-Gbb-A         0.0     1.3     0.4              0.0           0.00277779063717  2.9     3.9     0                 0                  
atlas_1609_01599     3lZ1b4j          7.0     11.0    2.8              0.0001110288  0.00269393119507  6.0     8.7     0                 0                  
atlas_1704_03848     SRI3             236.0   273.0   37.0             2.088403865   0.211206544595    47.0    64.0    0.0370643645077   0.0272191426854    
atlas_1706_03731     Rpc2L0bH         3.0     2.4     1.0              0.0006262725  0.0303887862692   5.6     5.1     0                 0                  
atlas_1708_07875     sr2-highmass     5.0     3.7     1.4              0.0           0.0303873521638   7.22    6.137   0                 0                  
atlas_1709_04183     SRA-T0           18.0    18.7    2.7              0.086344615   0.0429742055546   10.4    10.8    0.00152566518177  0.00146915906392   
atlas_1712_02332     2j-2100          180.0   143.0   13.0             1.899239235   0.20166322828     67.0    37.0    0.0234106200093   0.0423922038006    
atlas_1712_08119     SRI-MLL-60       52.0    43.0    7.0              0.0002087575  0.0303873521638   27.0    20.0    0                 0                  
atlas_1802_03158     SRaaSH           0.0     0.48    0.27613402543    0.000417515   0.0303880692249   2.97    2.9     0                 0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0     9.8     2.9              1.5141181475  0.0352055551158   8.4     9.0     0.173378694894    0.161820115234     
atlas_1807_07447     MET1g1j          106.0   103.0   21.0             0.2760980973  0.0228870645968   44.0    40.0    0.00542189344003  0.00596408278403   
atlas_1908_03122     SRC26            4.0     3.7     0.9              0.0           0.117003913356    5.8     5.4     0                 0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0    37.3    3.0              3.91292274    0.129747818869    14.1    14.4    0.262421015394    0.256953910907     
atlas_1909_08457     Rpc3LSS1b        4.0     3.5     1.5              0.0           0.117003913356    6.5     5.9     0                 0                  
atlas_1911_06660     SRhighMass       0.05    0.065   0.0222036033112  0.02411415    0.117083955829    2.928   2.927   0                 0                  
atlas_1911_12606     S-inc-40         472.0   443.0   31.0             0.46721013    0.167720431699    96.0    73.0    0.00200154814597  0.00263217290429   
atlas_2004_10894     Cat9             71.0    69.0    4.0              0.000803805   0.117003913356    21.0    19.0    0                 0                  
atlas_2004_14060     SRB-T0           292.0   276.0   24.0             0.253398      0.167209228372    66.0    57.0    0                 0                  
atlas_2101_01629     2J_disc_squark   106.0   86.0    12.0             0.43168638    0.187358273759    46.0    31.0    0.00270475676164  0.0040135100334    
atlas_2103_11684     SR0-ZZtight      17.0    18.4    3.4              0.007234245   0.117025999507    10.4    11.1    0                 0                  
atlas_2106_09609     SR9              25.0    22.7    1.9              0.0           0.117003913356    13.0    11.5    0                 0                  
atlas_conf_2015_082  SRZ              21.0    10.3    2.3              0.0010362688  0.00269710709186  20.0    10.2    0                 0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0   184.0   56.0             1.85048e-05   0.00269361339945  115.0   101.0   0                 0                  
atlas_conf_2016_050  bCbv             7.0     7.4     1.8              0.01160254    0.0111506769753   7.2     7.3     0                 0                  
atlas_conf_2016_054  GG2J             47.0    46.0    7.0              0.049130355   0.0199557214129   20.0    19.0    0.00082014859414  0.000863314309621  
atlas_conf_2016_066  SRL              3.0     0.78    0.18             0.0           0.0111953215875   6.34    3.17    0                 0                  
atlas_conf_2016_076  SR_w_sf          13.0    12.0    4.0              0.046844892   0.0113274261696   11.1    10.3    0.0025466588362   0.00274445758076   
atlas_conf_2016_096  2LCSF            9.0     10.2    3.3              0.546218371   0.0129359668462   8.3     9.1     0.0632534199244   0.0576926797112    
atlas_conf_2017_060  IM6              5097.0  4680.0  160.0            28.64831196   0.78421680786     692.0   350.0   0.0395407462357   0.078177703986     
atlas_conf_2018_041  SR-Gtt-1L-B      0.0     0.64    0.34             0.0           0.0671720017228   2.87    2.94    0                 0                  
atlas_conf_2019_020  SR-low           51.0    46.0    5.0              0.020095125   0.117070159307    21.0    18.0    0                 0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0  1969.0  100.0            15.362601835  1.12696766712     317.0   216.0   0.0426320973531   0.0625665502821    
atlas_conf_2020_048  EM07             3986.0  3840.0  80.0             26.534757815  1.48226719576     310.0   197.0   0.0777543213353   0.122354515807     
