analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             2.60030727965  0.694072758858  49.0     63.0     0.0298373052066    0.0232067929385    
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.270550043459  2.9      3.9      0                  0                  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              2.262095e-05   0.262351846647  6.0      8.7      0                  0                  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            27.2417009875  7.54593480816   194.0    284.0    0.0766307623821    0.0523463658525    
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00204154     2.95965592808   5.6      5.1      0                  0                  
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            2.95965585107   7.22     6.137    0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             2.09680231     2.95965597209   76.0     57.0     0                  0                  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             6.29580386     3.62427687746   86.0     67.0     0.00409290442975   0.00525357882028   
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             18.85416078    6.27995740178   59.0     66.0     0.14500051934      0.12962167638      
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.00102077     2.95965588407   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-WZ-1Ja       1.0       2.2       0.5              0.000510385    2.95965586207   3.5      4.5      0                  0                  
atlas_1807_07447     MET1b2j           379.0     350.0     94.0             24.7734534251  2.146181276     170.0    158.0    0.125021859603     0.134517190712     
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.3959108898   5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.138545895    11.3959168204   17.0     19.0     0                  0                  
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.002947785    11.3959109745   6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.04912975     11.3959129655   2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-30          419.0     388.0     28.0             72.67564368    24.1780551095   91.0     69.0     0.362897069235     0.478603381165     
atlas_2004_10894     Cat9              71.0      69.0      4.0              24.17266519    13.9549615111   21.0     19.0     0.0612632529435    0.0677120164112    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             8.066712975    11.3959110592   66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             8.069188925    11.3959114828   38.0     29.0     0                  0                  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.004912975    11.3959110592   10.4     11.1     0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.000982595    11.3959108898   13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0021716112   0.262351939294  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b          9466.0    9000.0    2200.0           0.7461724805   0.370937409756  3717.0   3549.0   3.70823590263e-05  3.88377369684e-05  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.01492984     1.08220293511   7.2      7.3      0                  0                  
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.00575421     1.21337793067   5.0      5.6      0                  0                  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.09040119939   6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              9.2695653855   2.67092684633   11.1     10.3     0.440472554732     0.474684015294     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             44.375883435   5.82157008107   17.7     24.6     1.96771234475      1.41579302854      
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           171.923126968  18.9510461591   3032.0   2741.0   0.046452312423     0.0513839515748    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00169233     6.5423966368    2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.000982595    11.3959108898   21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-SSd-4-2200-16  71.0      68.0      4.0              0.00393038     11.3959110169   21.0     19.0     0                  0                  
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1712.3338857   117.3296143     20140.0  13460.0  0.0754673941534    0.112920751727     
