analysis             sr                o         b         db               s              ds               s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             1.219914776    0.272015361996   49.0     63.0     0.0157920322924  0.012282691783   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              2.324235e-05   0.0887175128622  2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              4.5076e-05     0.0860290956489  6.0      8.7      0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            13.072338209   2.99101037331    194.0    284.0    0.0420983566844  0.0287573281576  
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.002796827    0.970518608973   5.6      5.1      0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            0.970518275921   7.22     6.137    0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.690377369    0.970518808804   76.0     57.0     0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.448130219    1.53443380856    86.0     67.0     0.0108332415461  0.0139053548203  
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             12.362538794   2.91136191189    59.0     66.0     0.128608563703   0.114968261492   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.000254257    0.970518275921   2.97     2.9      0                0                
atlas_1803_02762     S-2l0j-SF-loose   153.0     133.0     22.0             2.72817761     0.970875541717   61.0     48.0     0.0186219954358  0.023665452533   
atlas_1807_07447     MET5j             72.0      107.0     44.0             5.67942793085  0.588476885957   37.0     46.0     0.127414211835   0.102485344302   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            3.73689700138    5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.14489126     3.73691585245    17.0     19.0     0                0                
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00391598     3.7368973861     6.5      5.9      0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.03720181     3.73690174622    2.928    2.927    0                0                
atlas_1911_12606     S-inc-30          419.0     388.0     28.0             47.698524275   11.2091976519    91.0     69.0     0.322147693691   0.424861451099   
atlas_2004_10894     Cat9              71.0      69.0      4.0              7.928928995    4.57720435543    21.0     19.0     0.0201101834334  0.0222270448474  
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.008810955    3.73689802729    66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             15.89310181    6.47314714232    68.0     54.0     0.0776050073028  0.0977248240109  
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00391598     3.7368973861     10.4     11.1     0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            3.73689700138    13.0     11.5     0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00202842     0.0860293554479  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             4.5076e-05     0.0860290956489  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.017106388    0.354872987359   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.1294153245   0.562779626326   20.0     19.0     0.0103228368663  0.0108661440697  
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.357559178933   6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              5.325893036    1.15860820353    11.1     10.3     0.30862843083    0.332599571088   
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             16.628091983   2.0225754536     17.7     24.6     0.752037753621   0.541100334923   
atlas_conf_2017_060  EM4               27843.0   27640.0   610.0            68.780629541   6.86248019241    1355.0   1235.0   0.0424547321221  0.0465798882797  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00112408     2.14535514679    2.87     2.94     0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.004894975    3.73689751434    21.0     18.0     0                0                
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             26.446366885   8.35595675231    141.0    120.0    0.0903730341221  0.106188315093   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1350.31250223  59.673479795     20140.0  13460.0  0.0621870901373  0.0930496281847  
