analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons          rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             3.8460192526   0.858409019548  49.0     63.0     0.0497597645008   0.0387020390562  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.279922747057  2.9      3.9      0                 0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              2.26059e-05    0.271439939636  6.0      8.7      0                 0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            45.5571067725  9.92462682229   194.0    284.0    0.150931540123    0.103101122479   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00102009     3.06218640391   5.6      5.1      0                 0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            3.06218637205   7.22     6.137    0                 0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0007650675   3.06218639329   76.0     57.0     0                 0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             6.5150065975   3.75098795105   86.0     67.0     0.00422542276482  0.0054236769817  
atlas_1712_08119     SRI-MLL-20        34.0      29.0      6.0              49.8045351575  10.3845924122   20.0     17.0     1.63869018007     1.92787080009    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0017851575   3.06218643576   2.97     2.9      0                 0                
atlas_1803_02762     S-3l-WZ-1Ja       1.0       2.2       0.5              0.0            3.06218637205   3.5      4.5      0                 0                
atlas_1807_07447     MET1g2j           38.0      43.0      10.0             6.74199327495  1.13911055402   18.0     20.0     0.270769553686    0.243692598318   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.7906887257   5.8      5.4      0                 0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.165948705    11.790695595    17.0     19.0     0                 0                
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0            11.7906887257   6.5      5.9      0                 0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.04124169     11.7906904022   2.928    2.927    0                 0                
atlas_1911_12606     E-inc-20          383.0     301.0     23.0             191.76518334   39.9833524117   130.0    63.0     0.970711426037    2.00305532357    
atlas_2004_10894     Cat9              71.0      69.0      4.0              0.00196389     11.7906887666   21.0     19.0     0                 0                
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0            11.7906887257   66.0     57.0     0                 0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             33.39033613    16.6784773683   68.0     54.0     0.088788724205    0.111808023073   
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00196389     11.7906887666   10.4     11.1     0                 0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.7906887257   13.0     11.5     0                 0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0012207186   0.271439989526  20.0     10.2     0                 0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             6.78177e-05    0.271439941519  115.0    101.0    0                 0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.0101641955   1.11969352857   7.2      7.3      0                 0                
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.001986488    1.25541174468   5.0      5.6      0                 0                
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.12817485581   6.34     3.17     0                 0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.0019730655   1.12817493406   6.3      6.1      0                 0                
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              0.426370059    1.12819260601   8.3      9.1      0                 0                
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           420.154212897  30.158891592    3032.0   2741.0   0.122260432285    0.135240288466   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.000563735    6.76903853324   2.87     2.94     0                 0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0            11.7906887257   21.0     18.0     0                 0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0    2589.0    100.0            50.04132501    20.4220722833   186.0    213.0    0.0889737982012   0.0776954294151  
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           4311.9815787   189.569069643   20140.0  13460.0  0.198663768842    0.297257674925   
