analysis             sr                o         b         db               s              ds              s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             6.9270056748   1.15332218153   49.0     63.0     0.102766475451   0.0799294809062  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              2.33058e-05    0.280314481246  2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0            0.271820360118  6.0      8.7      0                0                
atlas_1704_03848     SRI2              729.0     765.0     59.0             47.755271561   10.1720016289   96.0     116.0    0.323679050934   0.267872318014   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0007648545   3.06647496126   5.6      5.1      0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0            3.06647494007   7.22     6.137    0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.0            3.06647494007   76.0     57.0     0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             15.1923471385  5.73648298265   86.0     67.0     0.0672618028716  0.086336045477   
atlas_1712_08119     SRI-MLL-10        12.0      8.9       2.5              17.348129709   6.13294989073   11.4     9.3      0.639481744579   0.783880848194   
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0012747575   3.06647498246   2.97     2.9      0                0                
atlas_1803_02762     S-3l-WZ-1Ja       1.0       2.2       0.5              0.0            3.06647494007   3.5      4.5      0                0                
atlas_1807_07447     MET1g2j           38.0      43.0      10.0             5.4020082856   1.02033535112   18.0     20.0     0.207147683876   0.186432915488   
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            11.8071995534   5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.17179225     11.8072066541   17.0     19.0     0                0                
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00196334     11.8071995942   6.5      5.9      0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.03435845     11.8072009409   2.928    2.927    0                0                
atlas_1911_12606     E-inc-10          244.0     200.0     19.0             167.01033503   37.3426741774   83.0     49.0     1.2743174624     2.15853774243    
atlas_2004_10894     Cat12             22.0      16.6      1.7              25.09870183    14.4629735822   15.2     9.9      0.0907516549442  0.139335874258   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0            11.8071995534   66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_1300     84.0      73.0      12.0             8.35207169     11.8071997982   38.0     29.0     0                0                
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00196334     11.8071995942   10.4     11.1     0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            11.8071995534   13.0     11.5     0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0008361852   0.27182039394   20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             6.77988e-05    0.271820361997  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.011932608    1.12125983137   7.2      7.3      0                0                
atlas_conf_2016_054  GG6J_high_mass    3.0       3.8       1.2              0.001776891    1.25716888136   5.0      5.6      0                0                
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            1.12975522794   6.34     3.17     0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.0023482375   1.12975532165   6.3      6.1      0                0                
atlas_conf_2016_096  2LCSF             9.0       10.2      3.3              0.512103634    1.12977651235   8.3      9.1      0                0                
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           687.455645697  38.6056608448   3032.0   2741.0   0.205851702477   0.227706078771   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00112715     6.77851724891   2.87     2.94     0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.00098167     11.8071995534   21.0     18.0     0                0                
atlas_conf_2019_040  MB-SSd-2-1000-10  6986.0    6890.0    300.0            116.89413503   31.2389137292   652.0    581.0    0.100709074408   0.113016035308   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           6739.28835407  237.174741561   20140.0  13460.0  0.315308926411   0.471792108314   
