analysis             sr               o         b         db               s              ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             1.6013349464   0.340408012223  49.0    63.0    0.0212870572725  0.0165566001009  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              4.64156e-05    0.105850733552  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              6.751365e-05   0.102643298805  6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            18.8770494305  3.92666348459   194.0   284.0   0.0641099036896  0.0437933849147  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.001523277    1.15794436541   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.15794422625   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.820256036    1.15794442107   76.0    57.0    0                0                
atlas_1712_02332     3j-1300          405.0     378.0     28.0             6.569107083    2.3158894266    86.0    67.0    0.032221493295   0.0413589316921  
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             33.5779740595  5.24237438528   59.0    66.0    0.423397967248   0.378492122237   
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.001015518    1.15794430974   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             3.1620691725   1.1582907887    61.0    48.0    0.0206962668693  0.0263015058131  
atlas_1807_07447     MET1b2j          379.0     350.0     94.0             16.4668265149  1.09445490974   170.0   158.0   0.0863054144878  0.0928602560944  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.00097754     4.45856752487   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.16422672     4.45858542101   17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            4.45856752487   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.03225882     4.45857095407   2.928   2.927   0                0                
atlas_1911_12606     E-low-mm-40      16.0      15.3      2.0              18.91270754    7.72068314931   10.5    9.6     0.595313064298   0.651123664076   
atlas_2004_10894     Cat9             71.0      69.0      4.0              3.15441016     4.45856784636   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00391016     4.45856784636   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             6.32634818     5.46186898702   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00293262     4.45856773919   10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.45856752487   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00173285035  0.102643481368  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             2.250455e-05   0.102643293871  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.012068095    0.423404590619  7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.004579674    0.474725592055  5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0       0.78      0.18             9.35345e-05    0.426610714965  6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              3.029039399    0.953667100324  11.1    10.3    0.131984266168   0.142235471308   
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             6.788651963    1.38234648475   17.7    24.6    0.255457837741   0.183805029594   
atlas_conf_2017_060  EM2              67475.0   67100.0   1400.0           167.969643016  11.7235689569   3032.0  2741.0  0.0490577143558  0.054265957653   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.000561205    2.55966711822   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00195508     4.45856763203   21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-16   908.0     890.0     50.0             22.07884818    8.3387417415    123.0   113.0   0.0683196075117  0.0743655904774  
atlas_conf_2020_048  EM03             141036.0  139200.0  1600.0           451.22902252   37.6978762142   4667.0  3172.0  0.0834378627659  0.122763084971   
