analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             3.3998554641   0.46075736717    49.0    63.0    0.053963538407   0.0419716409832  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              3.591025e-05   0.0914455429575  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0627345      0.0886743909076  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            38.344472197   5.19782081208    194.0   284.0   0.153711577656   0.105000162201   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0019641825   1.00035862432    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            1.00035831579    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0035355285   1.00035893285    76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0    378.0    28.0             7.113050669    2.23618003511    86.0    67.0    0.0400664582723  0.0514285882301  
atlas_1712_08119     SRI-MLL-30        40.0     38.0     6.0              35.38371346    5.00179181035    19.0    18.0    1.43056709953    1.5100430495     
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.001571346    1.00035854719    2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              2.664217143    1.00088121542    8.4     9.0     0.121758565441   0.113641327745   
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             10.0851782962  0.795597303424   44.0    40.0    0.199554516331   0.219509967965   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.001512585    3.85179529073    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.216299655    3.85183746352    17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.004537755    3.85179588472    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  1.154102355    3.85202159284    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-30      3.0      8.3      1.4              32.688548095   9.43331645829    4.1     6.9     4.19949002522    2.49534914542    
atlas_2004_10894     Cat12             22.0     16.6     1.7              38.220287685   10.1901501437    15.2    9.9     1.41502904272    2.17256984337    
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.00907551     3.8517967757     66.0    57.0    0                0                
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             19.131851155   7.20658455182    46.0    31.0    0.158979401957   0.235904919033   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.010588095    3.85179707269    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            3.85179529073    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.06430149225  0.0886746917453  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             6.96441e-05    0.0886743977448  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.27144169     0.365784681941   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              3.792187124    1.04564582031    20.0    19.0    0.103866398934   0.10933305151    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.368552970145   6.34    3.17    0                0                
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              1.059235522    0.521081173191   11.1    10.3    0.0184380538709  0.019870135725   
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             6.831027565    1.27668292762    17.7    24.6    0.267642235238   0.192571852183   
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            56.7896507975  6.32666406646    582.0   410.0   0.0797490064064  0.113204687143   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            2.21131782087    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.007562925    3.85179647871    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0   100.0            24.585161495   8.17136431253    186.0   213.0   0.0601296990455  0.0525076245186  
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            180.142264005  22.1268907232    1199.0  833.0   0.119978451392   0.172694073492   
