analysis             sr               o        b        db               s              ds              s95obs  s95exp  robscons          rexpcons         
atlas_1604_01306     SR1              264.0    295.0    34.0             6.75799113295  0.752693286383  49.0    63.0    0.112726002924    0.0876757800521  
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.122732177381  2.9     3.9     0                 0                
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.119013149098  6.0     8.7     0                 0                
atlas_1704_03848     SRI1             2400.0   2600.0   160.0            76.2282740625  8.4913115079    194.0   284.0   0.32114702675     0.219375081653   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            1.34261554137   5.6     5.1     0                 0                
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            1.34261554137   7.22    6.137   0                 0                
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             3.7994571875   1.89874522994   76.0    57.0    0.00901993434737  0.0120265791298  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             18.059165625   4.13818372105   67.0    37.0    0.168246930186    0.304663360067   
atlas_1712_08119     SRI-MLL-60       52.0     43.0     7.0              0.0027540625   1.34261588724   27.0    20.0    0                 0                
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0011803125   1.34261565666   2.97    2.9     0                 0                
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              4.3801396875   1.34325710433   8.4     9.0     0.259190242428    0.241910892933   
atlas_1807_07447     MET1j            18952.0  18500.0  3200.0           530.050317976  6.68662516928   5551.0  5525.0  0.0935118451987   0.0939519009408  
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.001514895    5.16962968575   5.8     5.4     0                 0                
atlas_1908_08215     SR-SF-0J-INC100  147.0    144.0    12.0             9.990732525    5.17109308595   36.0    33.0    0.0419483295566   0.0457618140617  
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            5.16962968575   6.5     5.9     0                 0                
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  1.37855445     5.16983144388   2.928   2.927   0                 0                
atlas_1911_12606     VBF-inc-40       82.0     74.0     10.0             0.0            5.16962968575   33.0    26.0    0                 0                
atlas_2004_10894     Cat9             71.0     69.0     4.0              3.657599895    5.16962968575   21.0    19.0    0                 0                
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             7.312474895    5.16962968575   66.0    57.0    0                 0                
atlas_2101_01629     2J_bveto_1300    84.0     73.0     12.0             3.67911332     5.16963301515   38.0    29.0    0                 0                
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            5.16962968575   10.4    11.1    0                 0                
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            5.16962968575   13.0    11.5    0                 0                
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00129038795  0.119013333054  20.0    10.2    0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             3.487535e-05   0.119013149098  115.0   101.0   0                 0                
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.014098378    0.490930754243  7.2     7.3     0                 0                
atlas_conf_2016_054  GG6J_high_mass   3.0      3.8      1.2              0.000645194    0.550435355091  5.0     5.6     0                 0                
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.494648091536  6.34    3.17    0                 0                
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.001739406    0.494648325154  6.3     6.1     0                 0                
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              1.4365208985   0.494807265785  8.3     9.1     0.0753056605557   0.0686853827046  
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            512.473155625  22.0408783757   1520.0  722.0   0.313372444137    0.659731461342   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            2.96788642778   2.87    2.94    0                 0                
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.0            5.16962968575   21.0    18.0    0                 0                
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0    22.0             47.570626535   13.1798558321   85.0    58.0    0.305360740828    0.447511430524   
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            1093.78020509  63.2091335302   1199.0  833.0   0.825785843282    1.18861611776    
