analysis             sr                o        b        db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             3.5187275076   0.29340120178    49.0    63.0    0.061990806871     0.0482150720108    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              3.57508e-05    0.0359084912929  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0            0.0348203594782  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            40.518784724   3.34471457811    194.0   284.0   0.180584808329     0.123357228225     
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            0.39281710524    5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            0.39281710524    7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.83527196     0.481116302251   76.0    57.0    0.000608437161956  0.000811249549274  
atlas_1712_02332     2j-2100           180.0    143.0    13.0             6.69174498     1.36076134739    67.0    37.0    0.0665686025416    0.120543145143     
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.556700276    0.392817494615   27.0    20.0    0                  0                  
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.002346552    0.392818078675   2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight   9.0      9.8      2.9              3.833483784    0.394720622791   8.4     9.0     0.379302614598     0.354015773625     
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           231.098643189  2.38709861043    5551.0  5525.0  0.0409266441124    0.0411192400847    
atlas_1908_03122     SRC26             4.0      3.7      0.9              1.070910865    1.51250923226    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160   37.0     37.3     3.0              7.560948165    1.51626767995    14.1    14.4    0.359877246091     0.352379803464     
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            1.51250923226    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  1.224268245    1.51311780531    2.928   2.927   0                  0                  
atlas_1911_12606     E-inc-05          151.0    138.0    18.0             4.28123173     2.13911106709    51.0    42.0    0.0151586192151    0.0184068947611    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.00301173     1.51250998189    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.001505865    1.51250923226    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             3.23250884     1.85238906446    38.0    29.0    0.00512080984945   0.00671002669928   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0            1.51250923226    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            1.51250923226    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.00100535605  0.0348208426878  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             3.466745e-05   0.0348203594782  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0143003      0.143641012551   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.353640275    0.197236400832   20.0    19.0    0.00150862888181   0.0015880304019    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            0.144722203042   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.002305384    0.14472327894    6.3     6.1     0                  0                  
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.9603365225   0.145199403652   8.3     9.1     0.0870131928326    0.0793636813748    
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            236.453296356  8.09335425842    1520.0  722.0   0.146829075903     0.309113844006     
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.00086452     0.868331097002   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0            1.51250923226    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             36.442980845   6.23624186952    116.0   119.0   0.225996070508     0.22029869058      
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            483.115152015  22.712795437     1199.0  833.0   0.371865027104     0.535253502399     
