analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.5434378458   0.0645879571256  49.0    63.0    0.00892884890029   0.00694466025578   
atlas_1605_09318     SR-Gbb-C         5.0       7.6       1.7              0.0562358222   0.0212150272573  5.4     6.9     0.00397095879592   0.00310770688377   
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              6.87658e-05    0.0109960070648  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            5.952053705    0.71798627985    194.0   284.0   0.0246111144642    0.0168118176269    
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00310306     0.1240522427     5.6     5.1     0                  0                  
atlas_1708_07875     sr1-lowmass      10.0      14.0      6.0              0.8603588875   0.232296139483   9.386   11.191  0.0510753482578    0.0428373888614    
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.5298129425   0.214873211109   76.0    57.0    0.00233448521422   0.00311264695229   
atlas_1712_02332     3j-1300          405.0     378.0     28.0             4.2548139875   0.607705355021   86.0    67.0    0.0378857814566    0.0486295105264    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             9.5931857475   0.915783731812   59.0    66.0    0.137140685209     0.12259546102      
atlas_1802_03158     SRaaWL           6.0       3.7       1.1              0.2720487975   0.151928124175   8.1     6.2     0.00282551529043   0.00369139900847   
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              1.7799927925   0.126799776619   8.4     9.0     0.187147757005     0.174671239872     
atlas_1807_07447     MET5j            72.0      107.0     44.0             1.78248200145  0.11751489       37.0    46.0    0.0429664211311    0.0345599474315    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.33929651     0.477637064445   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              3.15877365     0.482548023303   11.0    15.0    0.215217717435     0.157826326119     
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00597404     0.477644069415   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.90357355     0.479045332815   2.928   2.927   0.0402797828495    0.0402935443059    
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             25.88606896    2.94437877752    96.0    73.0    0.219346747551     0.288455996779     
atlas_2004_10894     Cat12            22.0      16.6      1.7              2.75443985     0.955401175831   15.2    9.9     0.0781303895814    0.119957769862     
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             1.35705754     0.675548362936   66.0    57.0    0.00377512461795   0.00437119692605   
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             7.5045425      1.58408819653    68.0    54.0    0.0721564390837    0.0908636640314    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00448053     0.477641734437   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            0.477637064445   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0100460214   0.0109994468558  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.0585916809   0.0205765930108  3717.0  3549.0  6.68444131348e-06  7.00086457093e-06  
atlas_conf_2016_050  SR1              37.0      24.0      3.0              0.135345792    0.0641832658812  26.0    12.9    0.0011571244598    0.0023321888337    
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.166021266    0.203432680562   20.0    19.0    0.0416195834939    0.0438100878883    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.0457019497308  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              1.704439872    0.233041355342   11.1    10.3    0.119121806238     0.128373985363     
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             3.450174144    0.313414362333   17.7    24.6    0.165885570044     0.119356690641     
atlas_conf_2017_060  IM4              41523.0   39900.0   1000.0           52.64053209    2.13606775089    3268.0  2001.0  0.0150359182921    0.0245564122831    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.000857425    0.274211698415   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00149351     0.477637064445   21.0    18.0    0                  0                  
atlas_conf_2019_040  SR-5j-1600       320.0     319.0     19.0             6.44833571     1.47217027643    52.0    51.0    0.0775764703203    0.0790975775815    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           116.67489555   6.25519498213    3986.0  2400.0  0.0266975353184    0.0443401565747    
