analysis             sr               o         b         db               s              ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.30768069225  0.0364031546583   49.0    63.0    0.00506080650225   0.00393618283509   
atlas_1605_09318     SR-Gbb-C         5.0       7.6       1.7              0.01833478645  0.00904412979776  5.4     6.9     0.000648595107718  0.000507596171258  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0001371438   0.00619827597816  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            3.121505648    0.389288037476    194.0   284.0   0.0127993467347    0.00874321572725   
atlas_1706_03731     Rpc2L0bS         7.0       6.0       1.8              0.150980016    0.0856113234735   8.3     7.3     0.00127439102451   0.00144896513745   
atlas_1708_07875     sr1-lowmass      10.0      14.0      6.0              0.512473104    0.121449208491    9.386   11.191  0.0333791180561    0.0279953893374    
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.15407432     0.0856183131494   76.0    57.0    0.000179740610987  0.000239654147983  
atlas_1712_02332     3j-1300          405.0     378.0     28.0             3.70137408     0.42534960957     86.0    67.0    0.0349279153524    0.0448328465717    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             5.365230796    0.51378594037     59.0    66.0    0.0766546076914    0.0685245735423    
atlas_1802_03158     SRaaWH           1.0       2.05      0.640078120232   0.305827912    0.121078872903    3.53    4.4     0.0303848613144    0.0243769455545    
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              1.572680008    0.0741424573415   8.4     9.0     0.172748378329     0.161231819773     
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              0.2135123967   0.027833351938    6.1     7.3     0.0275189671347    0.0229953013043    
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            0.269224911869    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              2.83561768     0.276952895641    11.0    15.0    0.216492266468     0.15876099541      
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00297859     0.269229031069    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  0.79230494     0.271403409995    2.928   2.927   0.118580378282     0.118620890881     
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             10.532322355   1.39915142143     96.0    73.0    0.0858095210818    0.112845397587     
atlas_2004_10894     Cat9             71.0      69.0      4.0              2.09864968     0.630977753564    21.0    19.0    0.0506593411502    0.0559919033766    
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.200599565    0.269249626125    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             6.17400902     1.076735858       68.0    54.0    0.0648259148953    0.0816326335718    
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.001489295    0.269224911869    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            0.269224911869    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0063667101   0.00620339451634  20.0    10.2    0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.01654647405  0.00760106864768  3717.0  3549.0  1.09785350223e-06  1.14982289879e-06  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.0848996255   0.0361808284916   7.2     7.3     0.0035504259408    0.00350178996901   
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.0477602575   0.144791608409    20.0    19.0    0.0405151009855    0.0426474747216    
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.01819655     0.0257603781812   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              1.064069031    0.137536495515    11.1    10.3    0.0755413674194    0.0814086580927    
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             1.758323158    0.155823491423    17.7    24.6    0.0849024085913    0.0610883183767    
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            17.347549948   0.919748060931    1520.0  722.0   0.0104205020579    0.0219378990694    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            0.15456255192     2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.007446475    0.269241388292    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-4-1600-16   274.0     273.0     17.0             3.446366835    0.807771319624    47.0    47.0    0.0451408908684    0.0451408908684    
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           89.44201246    4.10978777085     3986.0  2400.0  0.0207481085087    0.0344591502149    
