analysis             sr               o        b        db               s             ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1              264.0    295.0    34.0             1.27503352    0.0833781728774   49.0    63.0    0.0232304758466   0.0180681478807   
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0           0.00805285733456  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0           0.00780883242626  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2             729.0    765.0    59.0             7.573265517   0.682389349886    96.0    116.0   0.0672306977415   0.0556391981309   
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0           0.0880932747961   5.6     5.1     0                 0                 
atlas_1708_07875     sr1-lowmass      10.0     14.0     6.0              0.2071977425  0.0885467094564   9.386   11.191  0.00660357329976  0.00553848083206  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.063066571   0.0880941261059   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100          180.0    143.0    13.0             3.3180667765  0.453491131358    67.0    37.0    0.0384230047921   0.0695767924614   
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              0.812879284   0.224595511153    11.4    9.3     0.0389949689219   0.0478002844849   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0           0.0880932747961   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.858941561   0.09416741308     8.4     9.0     0.32196511947     0.300500778172    
atlas_1807_07447     MET1g1j          106.0    103.0    21.0             0.7047219907  0.0619299090022   44.0    40.0    0.0137081122713   0.0150789234984   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.2398405     0.339195683415    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              5.69940462    0.35149750654     14.1    14.4    0.363329695693    0.355760327033    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0           0.339195683415    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.84849849    0.341052455457    2.928   2.927   0.0987610871072   0.0987948285104   
atlas_1911_12606     E-inc-10         244.0    200.0    19.0             2.88710926    0.830861832078    83.0    49.0    0.0183674199445   0.0311121603141   
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.76874093    0.415509729995    15.2    9.9     0.00574374821111  0.0088186841221   
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.00149121    0.339195683415    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             1.7236483     0.634621651442    68.0    54.0    0.0100421881123   0.0126457183636   
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0           0.339195683415    10.4    11.1    0                 0                 
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0           0.339195683415    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.00061794    0.00781011518434  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             0.0           0.00780883242626  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.010762436   0.0322347317004   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.21541432    0.0722431722675   20.0    19.0    0.00484677587406  0.00510186934112  
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0           0.0324554542451   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.002425628   0.0324604721136   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.783597204   0.0340861923424   8.3     9.1     0.0876741986215   0.0799665767647   
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            91.851799488  2.38667151425     1520.0  722.0   0.0578537225031   0.121797310533    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0           0.194732371926    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.00149121    0.339195683415    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            34.19530232   2.85812897511     317.0   216.0   0.0930850813906   0.13661097593     
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            176.58616502  6.49805118145     1199.0  833.0   0.138389792396    0.199194911263    
