analysis             sr               o        b       db               s              ds                s95obs  s95exp  robscons           rexpcons          
atlas_1604_01306     SR1              264.0    295.0   34.0             0.98396561815  0.0605830636476   49.0    63.0    0.018053252934     0.0140414189487   
atlas_1605_09318     SR-Gbb-A         0.0      1.3     0.4              0.0            0.00552283613318  2.9     3.9     0                  0                 
atlas_1609_01599     3lZ1b4j          7.0      11.0    2.8              3.427735e-05   0.0053554743563   6.0     8.7     0                  0                 
atlas_1704_03848     SRI3             236.0    273.0   37.0             3.7153400565   0.396028615181    47.0    64.0    0.0652309176086    0.0479039551188   
atlas_1706_03731     Rpc2L0bH         3.0      2.4     1.0              0.0            0.0604164491994   5.6     5.1     0                  0                 
atlas_1708_07875     sr1-lowmass      10.0     14.0    6.0              0.209853778    0.060947476569    9.386   11.191  0.0117089192869    0.00982038391804  
atlas_1709_04183     SRB-T0           206.0    179.0   26.0             0.215229516    0.0955651339017   76.0    57.0    0.000769772321068  0.00102636309476  
atlas_1712_02332     2j-2100          180.0    143.0   13.0             3.3517091665   0.377284158174    67.0    37.0    0.0407904947328    0.0738638688404   
atlas_1712_08119     SRI-MLL-60       52.0     43.0    7.0              0.0003866915   0.0604164491994   27.0    20.0    0                  0                 
atlas_1802_03158     SRaaWH           1.0      2.05    0.640078120232   0.177233014    0.0855370824099   3.53    4.4     0.0104680449993    0.00839822701084  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8     2.9              2.38975347     0.0676320571733   8.4     9.0     0.271290106695     0.253204099582    
atlas_1807_07447     MET1g1j          106.0    103.0   21.0             0.5037654455   0.0433126349515   44.0    40.0    0.00983483464044   0.0108183181045   
atlas_1908_03122     SRC26            4.0      3.7     0.9              0.1641695      0.232628486902    5.8     5.4     0                  0                 
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3    3.0              5.93485505     0.25089908345     14.1    14.4    0.391729117244     0.383568093968    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5     1.5              0.0            0.232628486902    6.5     5.9     0                  0                 
atlas_1911_06660     SRhighMass       0.05     0.065   0.0222036033112  0.739995725    0.234979986712    2.928   2.927   0.121116306964     0.121157685955    
atlas_1911_12606     VBF-inc-40       82.0     74.0    10.0             0.0            0.232628486902    33.0    26.0    0                  0                 
atlas_2004_10894     Cat9             71.0     69.0    4.0              0.00297785     0.232633251741    21.0    19.0    0                  0                 
atlas_2004_14060     SRB-T0           292.0    276.0   24.0             0.166298425    0.232628486902    66.0    57.0    0                  0                 
atlas_2101_01629     2J_bveto_700     280.0    261.0   22.0             1.8567101      0.545519518952    68.0    54.0    0.0141479130723    0.0178158905355   
atlas_2103_11684     SR0-ZZtight      17.0     18.4    3.4              0.0            0.232628486902    10.4    11.1    0                  0                 
atlas_2106_09609     SR9              25.0     22.7    1.9              0.0            0.232628486902    13.0    11.5    0                  0                 
atlas_conf_2015_082  SRZ              21.0     10.3    2.3              0.00071982435  0.00535766780562  20.0    10.2    0                  0                 
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0   56.0             0.0            0.0053554743563   115.0   101.0   0                  0                 
atlas_conf_2016_050  bCbv             7.0      7.4     1.8              0.013149642    0.0221329486856   7.2     7.3     0                  0                 
atlas_conf_2016_054  GG2J             47.0     46.0    7.0              0.115524795    0.0429750023189   20.0    19.0    0.00225228955985   0.00237083111563  
atlas_conf_2016_066  SRL              3.0      0.78    0.18             0.0            0.0222586992547   6.34    3.17    0                  0                 
atlas_conf_2016_076  SR_t_sf          5.0      4.7     2.0              0.003704103    0.0222700943639   6.3     6.1     0                  0                 
atlas_conf_2016_096  2LCSF            9.0      10.2    3.3              0.8158999185   0.0247319021899   8.3     9.1     0.0934144095071    0.0852021537262   
atlas_conf_2017_060  IM6              5097.0   4680.0  160.0            49.501875678   1.45066845767     692.0   350.0   0.0680965020338    0.134636512593    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64    0.34             0.0            0.133552478345    2.87    2.94    0                  0                 
atlas_conf_2019_020  SR-low           51.0     46.0    5.0              0.0            0.232628486902    21.0    18.0    0                  0                 
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0  100.0            28.5895046     2.16325651686     317.0   216.0   0.0789961006699    0.115934092187    
atlas_conf_2020_048  EM06             10203.0  9930.0  170.0            89.64378845    3.83337857785     594.0   381.0   0.140331729937     0.218784901791    
