analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             0.7554652718   0.0471172109635  49.0    63.0    0.0138406744045    0.0107649689813    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.00307025     0.0043542013852  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j          7.0      11.0     2.8              0.0            0.0042222575084  6.0     8.7     0                  0                  
atlas_1704_03848     SRI2             729.0    765.0    59.0             4.722260785    0.395781742419   96.0    116.0   0.0424289450774    0.0351136097193    
atlas_1706_03731     Rpc2L0bH         3.0      2.4      1.0              0.0            0.0476323169283  5.6     5.1     0                  0                  
atlas_1708_07875     sr1-lowmass      10.0     14.0     6.0              0.165924745    0.0482981816364  9.386   11.191  0.00923883732328   0.00774870227113   
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.136449586    0.06745765804    76.0    57.0    0.000339724037031  0.000452965382707  
atlas_1712_02332     2j-2100          180.0    143.0    13.0             2.780112875    0.304894849599   67.0    37.0    0.0340311242038    0.0616239276124    
atlas_1712_08119     SRI-MLL-10       12.0     8.9      2.5              0.2375954075   0.0890779080341  11.4    9.3     0.0080269858179    0.00983953100259   
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.000771743    0.0476338798837  2.97    2.9     0                  0                  
atlas_1803_02762     S-2l0j-SF-tight  9.0      9.8      2.9              2.0431895925   0.0552910241539  8.4     9.0     0.23244194201      0.216945812543     
atlas_1807_07447     MET2j            6771.0   6770.0   1800.0           23.239673157   0.262788450276   2712.0  2723.0  0.00841028764694   0.00837631292637   
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.1293225      0.183404057055   5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-INC160  37.0     37.3     3.0              4.880738025    0.202204031558   14.1    14.4    0.322632866188     0.315911348142     
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0            0.183404057055   6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.64185048     0.185979782839   2.928   2.927   0.115042225459     0.11508152926      
atlas_1911_12606     E-inc-20         383.0    301.0    23.0             1.571703885    0.449875070725   130.0   63.0    0.00641468283855   0.0132366471272    
atlas_2004_10894     Cat12            22.0     16.6     1.7              0.810008065    0.318020599999   15.2    9.9     0.018977255329     0.0291367960607    
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             0.260081       0.224827889249   66.0    57.0    0                  0                  
atlas_2101_01629     2J_disc_squark   106.0    86.0     12.0             1.197975565    0.388985898257   46.0    31.0    0.0121747541708    0.0180657642535    
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.0            0.183404057055   10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            0.183404057055   13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.0006156837   0.0042246121425  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             3.420465e-05   0.0042222575084  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.01128756     0.0174619103844  7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              0.2168820365   0.0535215452362  20.0    19.0    0.00645533511563   0.0067950895954    
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.0175487706488  6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_t_sf          5.0      4.7      2.0              0.002558934    0.0175585570791  6.3     6.1     0                  0                  
atlas_conf_2016_096  2LCSF            9.0      10.2     3.3              0.702718684    0.0236458023223  8.3     9.1     0.0799927190592    0.072960392109     
atlas_conf_2017_060  IM5              13680.0  12720.0  340.0            66.368589766   1.49111194671    1520.0  722.0   0.0420547145878    0.0885362412374    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.0            0.105292412372   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.001485765    0.183404057055   21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-2200-22   406.0    373.0    22.0             6.65284492     0.925796126153   85.0    58.0    0.0604063443895    0.0885265391915    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            126.153520715  4.036942418      1199.0  833.0   0.0996938575058    0.143496920948     
