analysis             sr                o         b         db               s              ds               s95obs   s95exp   robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             1.6647182524   0.330919204196   49.0     63.0     0.0228981787249   0.0178096945638   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.0965190720474  2.9      3.9      0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.000173982    0.0935941487939  6.0      8.7      0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            18.020622408   3.6572977373     194.0    284.0    0.0619724439114   0.0423332891508   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.00392547     1.0558602007     5.6      5.1      0                 0                 
atlas_1708_07875     sr1-lowmass       10.0      14.0      6.0              5.547318352    1.97565313869    9.386    11.191   0.2458179421      0.206169886923    
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.752080564    1.05586034665    76.0     57.0     0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             3.036193093    1.67049193661    86.0     67.0     0.00344867810415  0.00442666144712  
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             38.141997708   5.33193846089    59.0     66.0     0.498264722579    0.445418464123    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.002355282    1.05585990882    2.97     2.9      0                 0                 
atlas_1803_02762     S-3l-slep-b       3.0       2.8       0.4              4.684106799    1.82944853575    5.1      5.0      0.330159058896    0.336762240074    
atlas_1807_07447     MET2m1j           17.0      16.0      5.0              3.034831186    0.440473350254   13.0     13.0     0.177881145506    0.177881145506    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.00151147     4.06549870335    5.8      5.4      0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.14812406     4.06552595705    17.0     19.0     0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.01058029     4.06550038915    6.5      5.9      0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  1.06105194     4.06569565641    2.928    2.927    0                 0                 
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             123.88764489   18.849606929     96.0     73.0     0.968482182567    1.27362040447     
atlas_2004_10894     Cat12             22.0      16.6      1.7              14.4253388     6.42417889882    15.2     9.9      0.255900355653    0.392897515751    
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.00906882     4.06550010818    66.0     57.0     0                 0                 
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             17.37389201    7.0416632896     68.0     54.0     0.085670061986    0.107880818797    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.00906882     4.06550010818    10.4     11.1     0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            4.06549870335    13.0     11.5     0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.002087784    0.0935945045495  20.0     10.2     0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             6.95928e-05    0.093594129389   115.0    101.0    0                 0                 
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.564509515    0.386079350236   7.2      7.3      0                 0                 
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.4681527195   0.865968801287   20.0     19.0     0.0523981942694   0.0551559939678   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0            0.38900053021    6.34     3.17     0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              12.4117794     1.84506697947    11.1     10.3     0.845573833664    0.91124947123     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             41.440425915   3.35781204631    17.7     24.6     2.0301476926      1.46071602273     
atlas_conf_2017_060  EM2               67475.0   67100.0   1400.0           126.038038329  9.67842226981    3032.0   2741.0   0.0363342433399   0.0401916912829   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.00173547     2.33400192835    2.87     2.94     0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.00906882     4.06550010818    21.0     18.0     0                 0                 
atlas_conf_2019_040  MB-GGd-4-1000-10  1281.0    1250.0    50.0             20.21579437    7.60030366662    141.0    120.0    0.0549737330265   0.0645941363062   
atlas_conf_2020_048  IM02              604691.0  596000.0  7000.0           1057.40150268  54.9992662211    20140.0  13460.0  0.0480239675312   0.0718575561722   
