analysis             sr               o         b         db               s              ds              s95obs   s95exp   robscons          rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             6.6865647434   1.11110531624   49.0     63.0     0.0992724903015   0.0772119369011  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.270071660181  2.9      3.9      0                 0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              6.97019e-05    0.261887608511  6.0      8.7      0                 0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            92.1372562125  13.8576770673   194.0    284.0    0.357786937227    0.244403752895   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.000786325    2.95442300837   5.6      5.1      0                 0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            2.95442298221   7.22     6.137    0                 0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.0019658125   2.95442308685   76.0     57.0     0                 0                
atlas_1712_02332     2j-1200          582.0     517.0     31.0             16.7480664625  5.9089655154    128.0    77.0     0.0551356485722   0.091654065159   
atlas_1712_08119     SRI-MLL-10       12.0      8.9       2.5              45.9716693625  9.7984269844    11.4     9.3      2.62300430773     3.21529560302    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0031453      2.95442316533   2.97     2.9      0                 0                
atlas_1803_02762     S-2l0j-SF-loose  153.0     133.0     22.0             5.3403262375   2.95477826905   61.0     48.0     0.00810639141411  0.0103018724221  
atlas_1807_07447     MET1g1j          106.0     103.0     21.0             17.1200433907  1.78174637784   44.0     40.0     0.322681348433    0.354949483276   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            11.3757219016   5.8      5.4      0                 0                
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.2119376      11.3757359028   17.0     19.0     0                 0                
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.00151384     11.3757219016   6.5      5.9      0                 0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  1.22318272     11.3758031889   2.928    2.927    0                 0                
atlas_1911_12606     E-high-mm-10     9.0       11.0      2.0              80.46553528    25.4372990984   7.0      8.0      5.53548067981     4.84354559484    
atlas_2004_10894     Cat12            22.0      16.6      1.7              32.36635768    16.0870590854   15.2     9.9      0.393656630259    0.604402098983   
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00302768     11.3757220023   66.0     57.0     0                 0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             0.07417816     11.3757267365   38.0     29.0     0                 0                
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00302768     11.3757220023   10.4     11.1     0                 0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            11.3757219016   13.0     11.5     0                 0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00128948515  0.261887689673  20.0     10.2     0                 0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             6.97019e-05    0.261887608511  115.0    101.0    0                 0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.01408848     1.08028686153   7.2      7.3      0                 0                
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.0017730405   1.21123161179   5.0      5.6      0                 0                
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            1.08847423024   6.34     3.17     0                 0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.002027893    1.08847435554   6.3      6.1      0                 0                
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              0.612133987    1.08851494993   8.3      9.1      0                 0                
atlas_conf_2017_060  EM5              8583.0    8360.0    190.0            154.878339138  17.9710174393   582.0    410.0    0.215474004359    0.30586797692    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            6.53082770351   2.87     2.94     0                 0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00302768     11.3757220023   21.0     18.0     0                 0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            56.45877016    21.2827691011   317.0    216.0    0.0679969363856   0.0997918001585  
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           7155.47037264  239.837212641   20140.0  13460.0  0.335756571197    0.502387618418   
