analysis             sr                o        b        db               s            ds              s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             4.1910075    0.719491103444  49.0    63.0    0.0614498385786  0.0477943188945  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0          0.168161523878  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0          0.163066063257  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            50.726214    8.37433767793   194.0   284.0   0.190681959836   0.130254578198   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0          1.83958477635   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0          1.83958477635   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.929522     1.83958477635   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0    378.0    28.0             12.313386    4.20861015667   86.0    67.0    0.0629216900355  0.080765154374   
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.0          1.83958477635   27.0    20.0    0                0                
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0          1.83958477635   2.97    2.9     0                0                
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0          1.83958477635   3.5     4.5     0                0                
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           311.5389604  6.13999866746   5551.0  5525.0  0.0543090186607  0.0545645905132  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0          7.08317721135   5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0          7.08317721135   17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0          7.08317721135   6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0          7.08317721135   2.928   2.927   0                0                
atlas_1911_12606     VBF-inc-40        82.0     74.0     10.0             0.0          7.08317721135   33.0    26.0    0                0                
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0          7.08317721135   21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0          7.08317721135   66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             6.11243      7.08317721135   38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0          7.08317721135   10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0          7.08317721135   13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0          0.163066063257  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0          0.163066063257  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0          0.672647059521  7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass    3.0      3.8      1.2              0.0          0.754179762712  5.0     5.6     0                0                
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0          0.677743433621  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0          0.677743433621  6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.0          0.677743433621  8.3     9.1     0                0                
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            146.873084   14.2972895696   582.0   410.0   0.212071355852   0.301037875868   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0          4.0664541182    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0          7.08317721135   21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             155.66731    27.2573362751   116.0   119.0   0.956597228524   0.932481332006   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            528.84872    52.9754412743   1199.0  833.0   0.368614675822   0.530575025582   
