analysis             sr                o        b        db               s          ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             1.3933584  0.241086583078   49.0    63.0    0.0203668653827  0.0158408952977  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0        0.0569344580606  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0        0.0552091228219  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            16.264383  2.77393425935    194.0   284.0   0.0603872722405  0.041250460615   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0        0.622828591618   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0        0.622828591618   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0        0.622828591618   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0    378.0    28.0             3.083668   1.20886689264    86.0    67.0    0.0128037941403  0.0164347208368  
atlas_1712_08119     SRI-MLL-30        40.0     38.0     6.0              29.532877  3.60814471506    19.0    18.0    1.24292208775    1.31197331485    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0        0.622828591618   2.97    2.9     0                0                
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0        0.622828591618   3.5     4.5     0                0                
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             1.9728337  0.28689700794    44.0    40.0    0.0341436956131  0.0375580651744  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0        2.39814473002    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0        2.39814473002    17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0        2.39814473002    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0        2.39814473002    2.928   2.927   0                0                
atlas_1911_12606     E-low-mm-10       12.0     11.1     1.9              23.01684   6.20668610511    9.4     8.7     1.36573136038    1.47561779168    
atlas_2004_10894     Cat9              71.0     69.0     4.0              2.31412    2.66268398232    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0        2.39814473002    66.0    57.0    0                0                
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             10.71632   4.50852713169    46.0    31.0    0.0722246848701  0.107172113033   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0        2.39814473002    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0        2.39814473002    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0        0.0552091228219  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0        0.0552091228219  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0        0.227737717934   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              2.382498   0.704081883474   20.0    19.0    0.0613901855551  0.0646212479528  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0        0.229463119233   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0        0.229463119233   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.0        0.229463119233   8.3     9.1     0                0                
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            67.429254  5.68274704187    1520.0  722.0   0.0382299663496  0.0804841396833  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0        1.37677998473    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0        2.39814473002    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-16  2537.0   2589.0   100.0            65.57934   10.5618413968    186.0   213.0   0.259451183383   0.226563005208   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            122.20498  14.8550466488    1199.0  833.0   0.0816035892376  0.117458227486   
