analysis             sr                o        b        db               s            ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             2.3482759    0.302981089771   49.0    63.0    0.0377834063832  0.0293870938536  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0          0.0541417418978  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0          0.0525010582204  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            27.062122    3.44174121587    194.0   284.0   0.110400342299   0.0754143183309  
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0          0.592278249103   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0          0.592278249103   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0          0.592278249103   76.0    57.0    0                0                
atlas_1712_02332     2j-2100           180.0    143.0    13.0             4.592284     1.38447177082    67.0    37.0    0.0346529894903  0.0627500079959  
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              8.510824     1.97076973985    11.4    9.3     0.463049265495   0.567608777059   
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0          0.592278249103   2.97    2.9     0                0                
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0          0.592278249103   3.5     4.5     0                0                
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           154.6006638  2.46172894436    5551.0  5525.0  0.0271236584996  0.0272512992455  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0          2.28051976771    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0          2.28051976771    17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0          2.28051976771    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0          2.28051976771    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-05      0.0      3.9      1.3              10.38962     4.09988772939    2.9     5.1     1.26407038752    0.718785122314   
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0          2.28051976771    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0          2.28051976771    66.0    57.0    0                0                
atlas_2101_01629     2J_disc_squark    106.0    86.0     12.0             8.19256      3.7941458949     46.0    31.0    0.0428295811383  0.0635535720116  
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0          2.28051976771    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0          2.28051976771    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0          0.0525010582204  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0          0.0525010582204  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0          0.216566888665   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.86157      0.583166125885   20.0    19.0    0.0452588776774  0.047640923871   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0          0.218207603099   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0          0.218207603099   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.0          0.218207603099   8.3     9.1     0                0                
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            131.03108    7.6162296786     1520.0  722.0   0.0779871469257  0.164183467212   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0          1.30924785296    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0          2.28051976771    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             86.01543     11.8850271976    116.0   119.0   0.573482632723   0.559025087361   
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            272.44581    21.64156556      1199.0  833.0   0.197626057116   0.28445815424    
