analysis             sr                o        b        db               s            ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             1.6225097    0.223910004659   49.0    63.0    0.025618312089    0.019925353847    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0377909    0.0430489583127  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0          0.0417444533774  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             9.508871     1.86144038466    96.0    116.0   0.067251133012    0.0556561100789   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0          0.470929284208   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0          0.470929284208   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.413409     0.470929284208   76.0    57.0    0                 0                 
atlas_1712_02332     2j-1600           204.0    216.0    18.0             4.021553     1.204444252      38.0    43.0    0.0538490638609   0.0475875448073   
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              0.826818     0.626642954166   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0          0.470929284208   2.97    2.9     0                 0                 
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0          0.470929284208   3.5     4.5     0                 0                 
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           127.8432486  1.99329170184    5551.0  5525.0  0.0224417672868   0.0225473756034   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0          1.81327607258    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0          1.81327607258    17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0          1.81327607258    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0          1.81327607258    2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-03          90.0     77.0     12.0             4.052014     2.4128401015     39.0    30.0    0.00243477521907  0.00316520778479  
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0          1.81327607258    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             2.460214     1.81327607258    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             1.5918       1.81327607258    38.0    29.0    0                 0                 
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0          1.81327607258    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0          1.81327607258    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0          0.0417444533774  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0          0.0417444533774  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0          0.172195354428   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass    3.0      3.8      1.2              0.0          0.193067736742   5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0          0.173500609542   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0          0.173500609542   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.0830929    0.173500609542   8.3     9.1     0                 0                 
atlas_conf_2017_060  IM6               5097.0   4680.0   160.0            75.09441     5.16940575741    692.0   350.0   0.0962667406905   0.190333098737    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0          1.04100170997    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0          1.81327607258    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             98.553588    11.4233647901    116.0   119.0   0.688097152968    0.670750165919    
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            137.771984   13.5693156225    594.0   381.0   0.194475263265    0.303197654538    
