analysis             sr                o        b        db               s           ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             0.54222155  0.0929028709908  49.0    63.0    0.00795634370561  0.00618826732659  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0         0.0211518468428  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0         0.0205108565     6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             3.104058    0.757877552837   96.0    116.0   0.019386862639    0.0160443001151   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0         0.231388355042   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0         0.231388355042   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.106543    0.231388355042   76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300           405.0    378.0    28.0             2.602087    0.663080672046   86.0    67.0    0.0176120313703   0.0226064880275   
atlas_1712_08119     SRI-MLL-30        40.0     38.0     6.0              12.082292   1.42065894477    19.0    18.0    0.513284806872    0.541800629476    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0         0.231388355042   2.97    2.9     0                 0                 
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0         0.231388355042   3.5     4.5     0                 0                 
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             0.94308622  0.119971592068   44.0    40.0    0.0169621092956   0.0186583202252   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0         0.890941941665   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0         0.890941941665   17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0         0.890941941665   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0         0.890941941665   2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-20          328.0    312.0    24.0             45.934057   5.6113683328     69.0    59.0    0.532339317887    0.622566320919    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.0         0.890941941665   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.410233    0.890941941665   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             15.965485   3.32644067733    68.0    54.0    0.1545606219      0.194631894244    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0         0.890941941665   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0         0.890941941665   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0         0.0205108565     20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0         0.0205108565     115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0751049   0.0846074761399  7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              2.5420075   0.443120496038   20.0    19.0    0.0907644943249   0.0955415729736   
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0         0.0852483592962  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.2662739   0.136822259796   11.1    10.3    0.00377345891309  0.00406654310051  
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             0.4204527   0.165916763151   17.7    24.6    0.00838131121087  0.00603045562733  
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            40.148415   2.67218444332    1520.0  722.0   0.023530284548    0.0495374411537   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0         0.511490333314   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0         0.890941941665   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             23.493611   4.10644329758    116.0   119.0   0.144474517172    0.140832302453    
atlas_conf_2020_048  EM06              10203.0  9930.0   170.0            37.086465   5.10407923613    594.0   381.0   0.0483430556443   0.0753694883274   
