analysis             sr                o        b        db               s           ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0    295.0    34.0             1.06822496  0.124490572904   49.0    63.0    0.0176338861314  0.0137152447689  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0         0.0192155358178  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0         0.0186332398858  6.0     8.7     0                0                
atlas_1704_03848     SRI2              729.0    765.0    59.0             6.597773    1.02870756687    96.0    116.0   0.0511530478159  0.0423335568132  
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0         0.210207045198   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0         0.210207045198   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0         0.210207045198   76.0    57.0    0                0                
atlas_1712_02332     2j-1200           582.0    517.0    31.0             3.9645886   0.786522743418   128.0   77.0    0.0208960257875  0.0347362506597  
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              6.6155474   1.00462066036    11.4    9.3     0.435786799737   0.534190270646   
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0         0.210207045198   2.97    2.9     0                0                
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0         0.210207045198   3.5     4.5     0                0                
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             0.7720319   0.103716562206   44.0    40.0    0.0136803804087  0.0150484184495  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0         0.80938228549    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0         0.80938228549    17.0    19.0    0                0                
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0         0.80938228549    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0         0.80938228549    2.928   2.927   0                0                
atlas_1911_12606     E-high-mm-10      9.0      11.0     2.0              13.038894   2.888817167      7.0     8.0     1.18589054945    1.03765423077    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.719313    0.80938228549    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0         0.80938228549    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             6.890511    2.07613121075    68.0    54.0    0.0512596443289  0.0645491817475  
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0         0.80938228549    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0         0.80938228549    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0         0.0186332398858  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0         0.0186332398858  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0         0.076862222974   7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              1.0795308   0.271827249601   20.0    19.0    0.0316867055327  0.0333544268765  
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0         0.0774445418287  6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0         0.0774445418287  6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.0         0.0774445418287  8.3     9.1     0                0                
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            67.7005386  3.28362794431    1520.0  722.0   0.0409969662969  0.0863094027304  
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0         0.464666803794   2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0         0.80938228549    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             42.524703   5.05459075282    116.0   119.0   0.29513081177    0.287690539205   
atlas_conf_2020_048  EM07              3986.0   3840.0   80.0             31.969182   4.40200108334    310.0   197.0   0.0798383878172  0.125634011286   
