analysis             sr                o         b         db               s           ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0     295.0     34.0             0.26107785  0.038741903854    49.0    63.0    0.00403145158529   0.00313557345523   
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0         0.00805904138642  2.9     3.9     0                  0                  
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0         0.007814828682    6.0     8.7     0                  0                  
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            2.9858676   0.442496557112    194.0   284.0   0.0116503775584    0.00795835650119   
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.0         0.0881610298418   5.6     5.1     0                  0                  
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0         0.0881610298418   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.1971246   0.118535694534    76.0    57.0    3.58692232044e-05  4.78256309392e-05  
atlas_1712_02332     3j-1300           405.0     378.0     28.0             1.8514266   0.359783886357    86.0    67.0    0.0146672212369    0.0188265824832    
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             16.2376974  1.04127510036     59.0    66.0    0.246271292126     0.220151609627     
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.0         0.0881610298418   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-WZ-1Ja       1.0       2.2       0.5              0.0         0.0881610298418   3.5     4.5     0                  0                  
atlas_1807_07447     MET1g1j           106.0     103.0     21.0             0.51777208  0.05592060625     44.0    40.0    0.00968323376705   0.0106515571438    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0         0.3394563146      5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0      56.0      6.0              0.0         0.3394563146      17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.0         0.3394563146      6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.305091    0.3394563146      2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20          328.0     312.0     24.0             23.901498   2.45688640308     69.0    59.0    0.288002960854     0.336817022016     
atlas_2004_10894     Cat12             22.0      16.6      1.7              0.759011    0.45641111709     15.2    9.9     0.00069057684033   0.00106027959323   
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.759011    0.45641111709     66.0    57.0    0.000159041938985  0.000184153824088  
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             11.519128   1.74621188196     68.0    54.0    0.127284419318     0.160284083585     
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0         0.3394563146      10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0         0.3394563146      13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.00702369  0.007814828682    20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0         0.007814828682    115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.0289727   0.0322361651077   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              1.499844    0.203968190189    20.0    19.0    0.0582668084045    0.061333482531     
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0         0.0324803561095   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              0.2620184   0.0849885540002   11.1    10.3    0.0110483938234    0.011906521499     
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             0.1452496   0.0617601501591   17.7    24.6    0.00248378269712   0.00178711194061   
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            19.0457484  1.13969701852     1520.0  722.0   0.0113004245326    0.0237903674372    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0         0.194882088434    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.0         0.3394563146      21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             11.630792   1.68151839982     116.0   119.0   0.076492257106     0.0745638808764    
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           91.327285   4.7742282684      3986.0  2400.0  0.0209477046261    0.0347906460999    
