analysis             sr                o        b        db               s           ds                s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             0.63706348  0.0601079513492   49.0    63.0    0.0109895191793   0.00854740380615  
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0         0.0075079950567   2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0         0.00728047662561  6.0     8.7     0                 0                 
atlas_1704_03848     SRI2              729.0    765.0    59.0             4.4738112   0.535476030977    96.0    116.0   0.0374544844708   0.0309968147345   
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0         0.0821329663933   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0         0.0821329663933   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0738336   0.0821329663933   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100           180.0    143.0    13.0             1.4294295   0.300929007112    67.0    37.0    0.0139687451991   0.0252947548199   
atlas_1712_08119     SRI-MLL-10        12.0     8.9      2.5              1.4654076   0.303072088785    11.4    9.3     0.0849446819642   0.104125739182    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0         0.0821329663933   2.97    2.9     0                 0                 
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0         0.0821329663933   3.5     4.5     0                 0                 
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             0.31582754  0.0417092369686   44.0    40.0    0.00562328162208  0.00618560978429  
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0         0.316246173196    5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0         0.316246173196    17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0         0.316246173196    6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0         0.316246173196    2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-10          244.0    200.0    19.0             7.173501    1.27095226452     83.0    49.0    0.0613149311589   0.103859985432    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.138531    0.316246173196    21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0         0.316246173196    66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             2.544154    0.801566578984    68.0    54.0    0.0180821295657   0.0227700890827   
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0         0.316246173196    10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0         0.316246173196    13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0         0.00728047662561  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0         0.00728047662561  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.0         0.0300319622477   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.4664864   0.111883843146    20.0    19.0    0.014149844862    0.014894573539    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0         0.0302594712322   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.0         0.0302594712322   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LCSF             9.0      10.2     3.3              0.0         0.0302594712322   8.3     9.1     0                 0                 
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            47.0632392  1.72758199532     1520.0  722.0   0.0290986873208   0.0612603943597   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0         0.181556963379    2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0         0.316246173196    21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             32.615041   2.83556157826     116.0   119.0   0.241075172514    0.234997647157    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            86.516891   4.59815517327     1199.0  833.0   0.0658681538914   0.0948090234284   
