analysis             sr                o        b        db               s           ds                s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1               264.0    295.0    34.0             0.14900122  0.0194704268787   49.0    63.0    0.00238917795753   0.00185824952252   
atlas_1605_09318     SR-Gbb-C          5.0      7.6      1.7              0.00978021  0.00584491756783  5.4     6.9     3.60268868079e-05  2.81949548931e-05  
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              0.0         0.00348375908151  6.0     8.7     0                  0                  
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            1.8044252   0.228768050637    194.0   284.0   0.00736724534513   0.00503255491886   
atlas_1706_03731     Rpc3L0bS          9.0      11.0     3.0              0.1069896   0.0639398960303   8.0     9.0     0.000266021313797  0.000236463390042  
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0         0.0393011785559   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.0356632   0.0393011785559   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300           405.0    378.0    28.0             1.2740414   0.196965871472    86.0    67.0    0.0110583415208    0.0141942891162    
atlas_1712_08119     SRI-MT2-999       277.0    289.0    33.0             5.5116554   0.403393870021    59.0    66.0    0.0822049059859    0.0734862038358    
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0         0.0393011785559   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-WZ-1Ja       1.0      2.2      0.5              0.0         0.0393011785559   3.5     4.5     0                  0                  
atlas_1807_07447     MET1g1j           106.0    103.0    21.0             0.34790662  0.0307936111656   44.0    40.0    0.00675920676565   0.00743512744221   
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.0         0.151325644462    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.0         0.151325644462    17.0    19.0    0                  0                  
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0         0.151325644462    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  0.0         0.151325644462    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-20          328.0    312.0    24.0             7.9624403   0.949297114338    69.0    59.0    0.0928346816302    0.108569373432     
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.2009043   0.151325644462    21.0    19.0    0                  0                  
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.137318    0.151325644462    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700      280.0    261.0    22.0             3.5756958   0.607544994199    68.0    54.0    0.0379312060223    0.0477652223984    
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.0         0.151325644462    10.4    11.1    0                  0                  
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0         0.151325644462    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0         0.00348375908151  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             0.0         0.00348375908151  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.01207684  0.0155876379315   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J              47.0     46.0     7.0              0.63064598  0.0851705716462   20.0    19.0    0.024548312125     0.0258403285526    
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0         0.0144793974915   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf           13.0     12.0     4.0              0.11533956  0.035467135637    11.1    10.3    0.00515076194192   0.00555082112188   
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             0.09708708  0.03386542044     17.7    24.6    0.00234733279539   0.00168893457229   
atlas_conf_2017_060  IM5               13680.0  12720.0  340.0            12.6810376  0.616559685135    1520.0  722.0   0.00767755244499   0.0161632683052    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0         0.0868763110131   2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.0         0.151325644462    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             7.7716814   0.942886715702    116.0   119.0   0.0536667860883    0.0523138419012    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            23.3150442  1.63312769738     1199.0  833.0   0.017211605318     0.0247739673185    
