analysis             sr                o        b        db               s              ds              s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0    295.0    34.0             8.6508658      1.2320219291    49.0    63.0    0.135313261965    0.105243648195    
atlas_1605_09318     SR-Gbb-A          0.0      1.3      0.4              0.0            0.256696390467  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0      11.0     2.8              3.56204e-05    0.248918215505  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0   2600.0   160.0            107.510538443  14.590908641    194.0   284.0   0.430832207584    0.294300874195    
atlas_1706_03731     Rpc2L0bH          3.0      2.4      1.0              0.0            2.80810500654   5.6     5.1     0                 0                 
atlas_1708_07875     sr2-highmass      5.0      3.7      1.4              0.0            2.80810500654   7.22    6.137   0                 0                 
atlas_1709_04183     SRB-T0            206.0    179.0    26.0             0.00160737     2.80810509279   76.0    57.0    0                 0                 
atlas_1712_02332     2j-2100           180.0    143.0    13.0             19.88148055    6.27945274432   67.0    37.0    0.143032508199    0.259004812144    
atlas_1712_08119     SRI-MLL-60        52.0     43.0     7.0              3.9738065825   3.43890348492   27.0    20.0    0                 0                 
atlas_1802_03158     SRaaSH            0.0      0.48     0.27613402543    0.0028128975   2.80810517905   2.97    2.9     0                 0                 
atlas_1803_02762     S-2l0j-SF-loose   153.0    133.0    22.0             6.0601867425   2.80853855356   61.0    48.0    0.0238390740108   0.0302954898887   
atlas_1807_07447     MET1j             18952.0  18500.0  3200.0           778.00492762   11.717128434    5551.0  5525.0  0.136694079803    0.137337346061    
atlas_1908_03122     SRC26             4.0      3.7      0.9              0.00154726     10.8123702905   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-0J-EXC100   53.0     56.0     6.0              0.26922324     10.8123894428   17.0    19.0    0                 0                 
atlas_1909_08457     Rpc3LSS1b         4.0      3.5      1.5              0.0            10.8123702905   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05     0.065    0.0222036033112  1.2455443      10.8124592987   2.928   2.927   0                 0                 
atlas_1911_12606     E-inc-20          383.0    301.0    23.0             45.89466164    18.7275753965   130.0   63.0    0.116780292229    0.240975206187    
atlas_2004_10894     Cat9              71.0     69.0     4.0              0.00309452     10.8123704012   21.0    19.0    0                 0                 
atlas_2004_14060     SRB-T0            292.0    276.0    24.0             0.0            10.8123702905   66.0    57.0    0                 0                 
atlas_2101_01629     2J_bveto_1300     84.0     73.0     12.0             15.33687602    13.2435808808   38.0    29.0    0                 0                 
atlas_2103_11684     SR0-ZZtight       17.0     18.4     3.4              0.00618904     10.8123706226   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0     22.7     1.9              0.0            10.8123702905   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0     10.3     2.3              0.0009617508   0.24891828177   20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0    184.0    56.0             3.56204e-05    0.248918215505  115.0   101.0   0                 0                 
atlas_conf_2016_050  bCbv              7.0      7.4      1.8              0.01395873     1.02679079274   7.2     7.3     0                 0                 
atlas_conf_2016_054  GG6J_high_mass    3.0      3.8      1.2              0.0008237225   1.15124418601   5.0     5.6     0                 0                 
atlas_conf_2016_066  SRL               3.0      0.78     0.18             0.0            1.03456444432   6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_t_sf           5.0      4.7      2.0              0.00177657     1.03456456084   6.3     6.1     0                 0                 
atlas_conf_2016_096  2LASF             56.0     70.0     12.0             1.7636852175   1.03463829533   17.7    24.6    0.00377844142096  0.00271863468094  
atlas_conf_2017_060  EM5               8583.0   8360.0   190.0            270.393820613  23.1555876772   582.0   410.0   0.399344771172    0.566874772736    
atlas_conf_2018_041  SR-Gtt-1L-B       0.0      0.64     0.34             0.0            6.20739373506   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0     46.0     5.0              0.00154726     10.8123702905   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0   1290.0   50.0             107.118463     28.6079404211   116.0   119.0   0.51897793715     0.505894459743    
atlas_conf_2020_048  EM05              29458.0  29000.0  400.0            1025.18576494  88.4998828334   1199.0  833.0   0.733983283647    1.05647773961     
