analysis             sr               o         b         db               s              ds               s95obs   s95exp   robscons           rexpcons           
atlas_1604_01306     SR1              264.0     295.0     34.0             0.9873598337   0.161157296217   49.0     63.0     0.0147563646511    0.0114771725064    
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              3.689105e-05   0.0386403638932  2.9      3.9      0                  0                  
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.00025041205  0.0374695323031  6.0      8.7      0                  0                  
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            11.733516445   1.86659645718    194.0    284.0    0.0447025683259    0.0305362614621    
atlas_1706_03731     Rpc3L0bS         9.0       11.0      3.0              1.8725709035   0.732039077625   8.0      9.0      0.0840033520245    0.074669646244     
atlas_1708_07875     sr1-lowmass      10.0      14.0      6.0              2.1182417275   0.732230403411   9.386    11.191   0.0977395979018    0.0819751466273    
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.004842786    0.422704041621   76.0     57.0     0                  0                  
atlas_1712_02332     2j-1200          582.0     517.0     31.0             3.0224484365   0.945196952974   128.0    77.0     0.0115025424502    0.0191211095276    
atlas_1712_08119     SRI-MT2-999      277.0     289.0     33.0             52.7191147985  3.96512830517    59.0     66.0     0.783327192848     0.700247036031     
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.0020178275   0.422702693092   2.97     2.9      0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0       2.8       0.4              7.7896085485   1.4944434305     5.1      5.0      1.04680810245      1.0677442645       
atlas_1807_07447     MET2m2j          6.0       7.2       1.7              2.1502519637   0.236221306535   6.1      7.3      0.288991642784     0.241486167258     
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.001553895    1.6275802924     5.8      5.4      0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0      36.0      5.0              3.73867137     1.62936327944    11.0     15.0     0.0969559628841    0.0711010394484    
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.007769475    1.62758325949    6.5      5.9      0                  0                  
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  1.00692396     1.62806014868    2.928    2.927    0                  0                  
atlas_1911_12606     S-inc-40         472.0     443.0     31.0             156.9273527    13.4217894905    96.0     73.0     1.40537102016      1.8481591498       
atlas_2004_10894     Cat12            22.0      16.6      1.7              3.50574243     1.99355916564    15.2     9.9      0.0155464077864    0.023869232157     
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.01243116     1.6275854848     66.0     57.0     0                  0                  
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             19.67952823    4.74511691795    68.0     54.0     0.174963771832     0.220324749714     
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.01864674     1.62758845188    10.4     11.1     0                  0                  
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            1.6275802924     13.0     11.5     0                  0                  
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.00261143995  0.0374706593539  20.0     10.2     0                  0                  
atlas_conf_2016_013  0J_6j_2b         9466.0    9000.0    2200.0           0.1091275372   0.0529908143094  3717.0   3549.0   5.97863915324e-06  6.26165165754e-06  
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.340979196    0.18928710102    7.2      7.3      0.00424282643441   0.00418470552435   
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              1.73520906     0.458451502371   20.0     19.0     0.0491674298055    0.051755189269     
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.155732566391   6.34     3.17     0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              14.910745782   1.27946356112    11.1     10.3     1.15427257133      1.24392480988      
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             41.719351518   2.12960535961    17.7     24.6     2.15970614284      1.55393490765      
atlas_conf_2017_060  IM4              41523.0   39900.0   1000.0           102.654867448  5.51941230985    3268.0   2001.0   0.0286422984271    0.0467781265666    
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.0            0.934396105273   2.87     2.94     0                  0                  
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.013985055    1.62758622657    21.0     18.0     0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            12.75001591    3.8171189229     317.0    216.0    0.0204729996102    0.0300460225761    
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           1136.38638435  36.1014335595    20140.0  13460.0  0.0534846093998    0.0800282342728    
