analysis             sr               o         b         db               s              ds               s95obs   s95exp   robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             2.0064627888   0.364052080163   49.0     63.0     0.0287636199456  0.0223717044021  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              3.695545e-05   0.0969344473766  2.9      3.9      0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0001075068   0.0939967856888  6.0      8.7      0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            25.62823764    4.37219457004    194.0    284.0    0.0951434976554  0.0649923892434  
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.00242562     1.06040254151    5.6      5.1      0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.06040215619    7.22     6.137    0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             0.00363843     1.06040277269    76.0     57.0     0                0                
atlas_1712_02332     2j-2100          180.0     143.0     13.0             6.01511507     2.12080573804    67.0     37.0     0.0378655770092  0.0685673962058  
atlas_1712_08119     SRI-MLL-30       40.0      38.0      6.0              61.50572777    6.78989515046    19.0     18.0     2.65106840649    2.79834998463    
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.00121281     1.06040231032    2.97     2.9      0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              2.53315582     1.06088484216    8.4      9.0      0.094441033197   0.0881449643172  
atlas_1807_07447     MET2m1j          17.0      16.0      5.0              2.31309825455  0.383008694812   13.0     13.0     0.129612615004   0.129612615004   
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.00155661     4.08298688458    5.8      5.4      0                0                
atlas_1908_08215     SR-SF-0J-EXC100  53.0      56.0      6.0              0.23037828     4.08303050267    17.0     19.0     0                0                
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.01400949     4.08298925837    6.5      5.9      0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  1.05693819     4.08318805802    2.928    2.927    0                0                
atlas_1911_12606     E-inc-30         453.0     366.0     27.0             340.79854397   31.3620180424    142.0    70.0     2.03778052381    4.13378334829    
atlas_2004_10894     Cat9             71.0      69.0      4.0              11.55406644    6.45557149241    21.0     19.0     0.0460442472597  0.0508910101292  
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             0.00311322     4.0829871813     66.0     57.0     0                0                
atlas_2101_01629     2J_bveto_700     280.0     261.0     22.0             40.57731261    10.8027361279    68.0     54.0     0.336188608238   0.423348617781   
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.02023593     4.08299044526    10.4     11.1     0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.08298688458    13.0     11.5     0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0018634512   0.0939971204088  20.0     10.2     0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             0.0001075068   0.0939967856888  115.0    101.0    0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.287046014    0.387739152171   7.2      7.3      0                0                
atlas_conf_2016_054  GG2J             47.0      46.0      7.0              5.561183736    1.30422239853    20.0     19.0     0.171112950121   0.180118894864   
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0001489415   0.390674050643   6.34     3.17     0                0                
atlas_conf_2016_076  SR_w_sf          13.0      12.0      4.0              1.67539098     0.676680857691   11.1     10.3     0.0509580516565  0.0549159585812  
atlas_conf_2016_096  2LASF            56.0      70.0      12.0             5.308057682    1.13903726285    17.7     24.6     0.19435234864    0.139838884997   
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            96.37375387    8.48327248652    1520.0   722.0    0.0542507809159  0.114212170349   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00089365     2.34404501093    2.87     2.94     0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00466983     4.08298747803    21.0     18.0     0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            34.7536627     10.0010719268    317.0    216.0    0.0578924439748  0.0849625219446  
atlas_conf_2020_048  IM02             604691.0  596000.0  7000.0           2931.31112391  91.9352548539    20140.0  13460.0  0.138060442202   0.206577808763   
