analysis             sr               o        b        db               s              ds               s95obs  s95exp  robscons           rexpcons           
atlas_1604_01306     SR1              264.0    295.0    34.0             1.0711411191   0.176985997507   49.0    63.0    0.015936409861     0.0123949854474    
atlas_1605_09318     SR-Gbb-A         0.0      1.3      0.4              0.0            0.0430145686507  2.9     3.9     0                  0                  
atlas_1609_01599     3lnoZ2b          10.0     7.7      2.2              0.0895758685   0.0510973284046  10.2    8.3     0.000566299011425  0.000695933724883  
atlas_1704_03848     SRI2             729.0    765.0    59.0             6.049346462    1.41177323997    96.0    116.0   0.0388962327964    0.0321899857625    
atlas_1706_03731     Rpc3L0bS         9.0      11.0     3.0              2.382978121    0.880250847124   8.0     9.0     0.117420841465     0.104374081302     
atlas_1708_07875     sr2-highmass     5.0      3.7      1.4              0.0            0.470552974001   7.22    6.137   0                  0                  
atlas_1709_04183     SRB-T0           206.0    179.0    26.0             0.3357819205   0.470554012682   76.0    57.0    0                  0                  
atlas_1712_02332     3j-1300          405.0    378.0    28.0             5.021771757    1.28849216558    86.0    67.0    0.0338214489006    0.0434126060515    
atlas_1712_08119     SRI-MT2-999      277.0    289.0    33.0             93.6371508935  5.57752704148    59.0    66.0    1.43203400925      1.28015161433      
atlas_1802_03158     SRaaSH           0.0      0.48     0.27613402543    0.0012108945   0.470553320228   2.97    2.9     0                  0                  
atlas_1803_02762     S-3l-slep-b      3.0      2.8      0.4              3.1764860435   0.998455336157   5.1     5.0     0.301768488667     0.307803858441     
atlas_1807_07447     MET2m1j          17.0     16.0     5.0              2.92185169725  0.28835643719    13.0    13.0    0.188380549251     0.188380549251     
atlas_1908_03122     SRC26            4.0      3.7      0.9              0.0            1.81182432289    5.8     5.4     0                  0                  
atlas_1908_08215     SR-SF-1J-INC160  29.0     36.0     5.0              4.17910935     1.81361515334    11.0    15.0    0.109525499866     0.0803186999016    
atlas_1909_08457     Rpc3LSS1b        4.0      3.5      1.5              0.0155415      1.81183032193    6.5     5.9     0                  0                  
atlas_1911_06660     SRhighMass       0.05     0.065    0.0222036033112  0.97756035     1.81224287474    2.928   2.927   0                  0                  
atlas_1911_12606     S-inc-40         472.0    443.0    31.0             197.67449355   15.8994050985    96.0    73.0    1.78749447071      2.35067766012      
atlas_2004_10894     Cat12            22.0     16.6     1.7              9.0338476      3.38864356989    15.2    9.9     0.228715272723     0.351158802564     
atlas_2004_14060     SRB-T0           292.0    276.0    24.0             1.2882366      1.81182632257    66.0    57.0    0                  0                  
atlas_2101_01629     2J_bveto_700     280.0    261.0    22.0             30.93159225    6.27742575472    68.0    54.0    0.303479617827     0.382159518746     
atlas_2103_11684     SR0-ZZtight      17.0     18.4     3.4              0.03263715     1.81183765406    10.4    11.1    0                  0                  
atlas_2106_09609     SR9              25.0     22.7     1.9              0.0            1.81182432289    13.0    11.5    0                  0                  
atlas_conf_2015_082  SRZ              21.0     10.3     2.3              0.03179983175  0.0417120692908  20.0    10.2    0                  0                  
atlas_conf_2016_013  1J_6j_3b-HM      215.0    184.0    56.0             3.577895e-05   0.0417110872071  115.0   101.0   0                  0                  
atlas_conf_2016_050  bCbv             7.0      7.4      1.8              0.256314744    0.172063781523   7.2     7.3     0                  0                  
atlas_conf_2016_054  GG2J             47.0     46.0     7.0              4.254116535    0.759487857751   20.0    19.0    0.150427822414     0.158345076226     
atlas_conf_2016_066  SRL              3.0      0.78     0.18             0.0            0.173361826853   6.34    3.17    0                  0                  
atlas_conf_2016_076  SR_w_sf          13.0     12.0     4.0              5.0602632015   0.784919018865   11.1    10.3    0.339909550501     0.366310292288     
atlas_conf_2016_096  2LASF            56.0     70.0     12.0             12.8312293185  1.22592079757    17.7    24.6    0.611340068389     0.439866634572     
atlas_conf_2017_060  EM5              8583.0   8360.0   190.0            43.097583149   3.77869122773    582.0   410.0   0.0634029717105    0.09000129155      
atlas_conf_2018_041  SR-Gtt-1L-B      0.0      0.64     0.34             0.00089224     1.04016884028    2.87    2.94    0                  0                  
atlas_conf_2019_020  SR-low           51.0     46.0     5.0              0.01709565     1.81183098848    21.0    18.0    0                  0                  
atlas_conf_2019_040  MB-C-2-1600-22   2108.0   1969.0   100.0            18.0400822     4.79318822687    317.0   216.0   0.0321112098042    0.0471261736479    
atlas_conf_2020_048  EM05             29458.0  29000.0  400.0            139.9817512    13.3739034064    1199.0  833.0   0.0984558378761    0.141714945514     
