analysis             sr               o         b         db               s              ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1              264.0     295.0     34.0             5.68892388925  0.607473800818   49.0    63.0    0.0957687113451  0.0744867754906  
atlas_1605_09318     SR-Gbb-A         0.0       1.3       0.4              0.0            0.0949977946652  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j          7.0       11.0      2.8              0.0            0.09211951263    6.0     8.7     0                0                
atlas_1704_03848     SRI1             2400.0    2600.0    160.0            67.848742821   7.04738467236    194.0   284.0   0.290159958548   0.198207859008   
atlas_1706_03731     Rpc2L0bH         3.0       2.4       1.0              0.0004037585   1.03921847123    5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass     5.0       3.7       1.4              0.0            1.03921847123    7.22    6.137   0                0                
atlas_1709_04183     SRB-T0           206.0     179.0     26.0             1.4708862755   1.0392186281     76.0    57.0    0                0                
atlas_1712_02332     2j-1200          582.0     517.0     31.0             15.470988401   3.36671355666    128.0   77.0    0.0777310794381  0.129215300884   
atlas_1712_08119     SRI-MLL-05       4.0       3.1       1.2              5.149840102    1.94462808807    6.5     5.5     0.301638467317   0.356481825011   
atlas_1802_03158     SRaaSH           0.0       0.48      0.27613402543    0.002422551    1.0392188634     2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight  9.0       9.8       2.9              4.13448704     1.04002125085    8.4     9.0     0.289149070073   0.269872465401   
atlas_1807_07447     MET1j            18952.0   18500.0   3200.0           437.287846514  5.34277297466    5551.0  5525.0  0.0771979280915  0.0775612124589  
atlas_1908_03122     SRC26            4.0       3.7       0.9              0.0            4.00143039267    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-0J-INC160  37.0      37.3      3.0              7.61151744     4.00290843512    14.1    14.4    0.0742374188936  0.072690806      
atlas_1909_08457     Rpc3LSS1b        4.0       3.5       1.5              0.0            4.00143039267    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass       0.05      0.065     0.0222036033112  1.27014088     4.00167682132    2.928   2.927   0                0                
atlas_1911_12606     E-inc-05         151.0     138.0     18.0             28.29807712    8.94471600611    51.0    42.0    0.267230252352   0.324493877856   
atlas_2004_10894     Cat9             71.0      69.0      4.0              2.83689928     4.00143069468    21.0    19.0    0                0                
atlas_2004_14060     SRB-T0           292.0     276.0     24.0             2.82508        4.00143039267    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_1300    84.0      73.0      12.0             5.68591672     4.89822165339    38.0    29.0    0                0                
atlas_2103_11684     SR0-ZZtight      17.0      18.4      3.4              0.00310928     4.00143069468    10.4    11.1    0                0                
atlas_2106_09609     SR9              25.0      22.7      1.9              0.0            4.00143039267    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ              21.0      10.3      2.3              0.0010737075   0.0921197142555  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM      215.0     184.0     56.0             7.15805e-05    0.0921195195826  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv             7.0       7.4       1.8              0.0128442015   0.379993998099   7.2     7.3     0                0                
atlas_conf_2016_054  GG6J_high_mass   3.0       3.8       1.2              0.00115871     0.426051303871   5.0     5.6     0                0                
atlas_conf_2016_066  SRL              3.0       0.78      0.18             0.0            0.382870166713   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf          5.0       4.7       2.0              0.002380048    0.382870600165   6.3     6.1     0                0                
atlas_conf_2016_096  2LCSF            9.0       10.2      3.3              0.947407857    0.383054137417   8.3     9.1     0.0384577194743  0.0350768210589  
atlas_conf_2017_060  IM5              13680.0   12720.0   340.0            315.241026439  15.20290197      1520.0  722.0   0.190992281058   0.402089012754   
atlas_conf_2018_041  SR-Gtt-1L-B      0.0       0.64      0.34             0.00089252     2.29722312051    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low           51.0      46.0      5.0              0.00466392     4.00143099668    21.0    18.0    0                0                
atlas_conf_2019_040  MB-C-2-1600-22   2108.0    1969.0    100.0            79.43156496    14.9703455531    317.0   216.0   0.173123653795   0.254074991912   
atlas_conf_2020_048  EM04             102888.0  100900.0  1200.0           1908.7527624   73.4605348486    3986.0  2400.0  0.448639609947   0.745115618853   
