analysis             sr                o         b         db               s              ds               s95obs  s95exp  robscons          rexpcons          
atlas_1604_01306     SR1               264.0     295.0     34.0             0.62976510355  0.0898156988045  49.0    63.0    0.00984627260226  0.00765821202398  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0            0.0189070207787  2.9     3.9     0                 0                 
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              0.0002136783   0.0183342590537  6.0     8.7     0                 0                 
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            6.511282824    0.970000354345   194.0   284.0   0.0253633105303   0.0173256417003   
atlas_1706_03731     Rpc3L0bS          9.0       11.0      3.0              1.2290706465   0.413690616147   8.0     9.0     0.0688272545023   0.0611797817798   
atlas_1708_07875     sr1-lowmass       10.0      14.0      6.0              2.180433612    0.527296374728   9.386   11.191  0.140173402668    0.117564789335    
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.2972293545   0.25340727924    76.0    57.0    0                 0                 
atlas_1712_02332     3j-1300           405.0     378.0     28.0             4.124275684    0.773956145267   86.0    67.0    0.0331975302996   0.0426117553099   
atlas_1712_08119     SRI-MT2-999       277.0     289.0     33.0             36.94842328    2.32146746891    59.0    66.0    0.561715536119    0.502139645924    
atlas_1802_03158     SRaaWH            1.0       2.05      0.640078120232   0.448243228    0.25323417836    3.53    4.4     0.00933121118682  0.00748617624761  
atlas_1803_02762     S-3l-slep-a       4.0       2.2       0.8              7.4650313695   1.03409774265    6.8     5.1     0.848398686993    1.13119824932     
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              1.3314565992   0.129399157722   6.1     7.3     0.183482291891    0.153320819252    
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0            0.796388022903   5.8     5.4     0                 0                 
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              3.5115538      0.79978975552    11.0    15.0    0.199990781904    0.14665990673     
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.01237552     0.796398539795   6.5     5.9     0                 0                 
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.95600892     0.79731447901    2.928   2.927   0                 0                 
atlas_1911_12606     S-inc-40          472.0     443.0     31.0             105.15439992   7.67994218251    96.0    73.0    0.964159320215    1.26793554439     
atlas_2004_10894     Cat12             22.0      16.6      1.7              3.98036044     1.48925449585    15.2    9.9     0.1011830965      0.15535182493     
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.57300164     0.796395534983   66.0    57.0    0                 0                 
atlas_2101_01629     2J_disc_squark    106.0     86.0      12.0             11.32838454    2.51894243435    46.0    31.0    0.156463455384    0.232171578957    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.0154694      0.796401544595   10.4    11.1    0                 0                 
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0            0.796388022903   13.0    11.5    0                 0                 
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.02874168095  0.0183367838011  20.0    10.2    0                 0                 
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             7.12261e-05    0.0183341207013  115.0   101.0   0                 0                 
atlas_conf_2016_050  SR1               37.0      24.0      3.0              0.240385624    0.10691631276    26.0    12.9    0.00250164888747  0.005042083029    
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              2.296986734    0.369738884484   20.0    19.0    0.0845307481723   0.0889797349182   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0001480165   0.0762008408181  6.34    3.17    0                 0                 
atlas_conf_2016_076  SR_w_sf           13.0      12.0      4.0              8.127355884    0.660023789813   11.1    10.3    0.634677195379    0.683972511525    
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             17.3273175355  0.95178653518    17.7    24.6    0.890756362588    0.640910065764    
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            30.1244060425  2.08904697442    1520.0  722.0   0.0175647164503   0.0369783504217   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0            0.457205752758   2.87    2.94    0                 0                 
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.01856328     0.796404549385   21.0    18.0    0                 0                 
atlas_conf_2019_040  MB-GGd-4-1600-16  95.0      102.0     6.0              3.39152246     1.3789079086     19.0    24.0    0.0594796573626   0.0470880620787   
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           171.4506929    9.8021105157     3986.0  2400.0  0.0389802387492   0.0647396798559   
