analysis             sr                o         b         db               s             ds               s95obs  s95exp  robscons         rexpcons         
atlas_1604_01306     SR1               264.0     295.0     34.0             1.800744079   0.223572864869   49.0    63.0    0.0292670322575  0.0227632473114  
atlas_1605_09318     SR-Gbb-A          0.0       1.3       0.4              0.0           0.0407538043099  2.9     3.9     0                0                
atlas_1609_01599     3lZ1b4j           7.0       11.0      2.8              3.579185e-05  0.0395188416076  6.0     8.7     0                0                
atlas_1704_03848     SRI1              2400.0    2600.0    160.0            22.517438633  2.6565732983     194.0   284.0   0.0936116413597  0.0639459803654  
atlas_1706_03731     Rpc2L0bH          3.0       2.4       1.0              0.002018885   0.445822618063   5.6     5.1     0                0                
atlas_1708_07875     sr2-highmass      5.0       3.7       1.4              0.0           0.445821886669   7.22    6.137   0                0                
atlas_1709_04183     SRB-T0            206.0     179.0     26.0             0.002422662   0.445822800911   76.0    57.0    0                0                
atlas_1712_02332     3j-1300           405.0     378.0     28.0             4.443594721   1.17972814181    86.0    67.0    0.0291725647493  0.0374453816185  
atlas_1712_08119     SRI-MLL-30        40.0      38.0      6.0              37.849395289  3.45306214913    19.0    18.0    1.69401965076    1.78813185358    
atlas_1802_03158     SRaaSH            0.0       0.48      0.27613402543    0.001615108   0.445822435214   2.97    2.9     0                0                
atlas_1803_02762     S-2l0j-SF-tight   9.0       9.8       2.9              2.712573886   0.447048393961   8.4     9.0     0.235644585703   0.219934946656   
atlas_1807_07447     MET2m2j           6.0       7.2       1.7              0.6479971764  0.131482864041   6.1     7.3     0.0708795539956  0.0592281204621  
atlas_1908_03122     SRC26             4.0       3.7       0.9              0.0           1.71659814614    5.8     5.4     0                0                
atlas_1908_08215     SR-SF-1J-INC160   29.0      36.0      5.0              4.97040787    1.71884679976    11.0    15.0    0.195590828945   0.14343327456    
atlas_1909_08457     Rpc3LSS1b         4.0       3.5       1.5              0.00777355    1.71660096232    6.5     5.9     0                0                
atlas_1911_06660     SRhighMass        0.05      0.065     0.0222036033112  0.98257672    1.71704234079    2.928   2.927   0                0                
atlas_1911_12606     E-inc-30          453.0     366.0     27.0             179.75283412  14.7663988317    142.0   70.0    1.09532352138    2.22194200051    
atlas_2004_10894     Cat12             22.0      16.6      1.7              3.68722159    2.1028045855     15.2    9.9     0.0156988203803  0.0241032393718  
atlas_2004_14060     SRB-T0            292.0     276.0     24.0             0.0           1.71659814614    66.0    57.0    0                0                
atlas_2101_01629     2J_bveto_700      280.0     261.0     22.0             37.77691216   6.75814547383    68.0    54.0    0.392552258572   0.49432506635    
atlas_2103_11684     SR0-ZZtight       17.0      18.4      3.4              0.01865652    1.71660589062    10.4    11.1    0                0                
atlas_2106_09609     SR9               25.0      22.7      1.9              0.0           1.71659814614    13.0    11.5    0                0                
atlas_conf_2015_082  SRZ               21.0      10.3      2.3              0.0022906784  0.0395198627094  20.0    10.2    0                0                
atlas_conf_2016_013  1J_6j_3b-HM       215.0     184.0     56.0             0.0           0.0395188416076  115.0   101.0   0                0                
atlas_conf_2016_050  bCbv              7.0       7.4       1.8              0.013287735   0.16302102623    7.2     7.3     0                0                
atlas_conf_2016_054  GG2J              47.0      46.0      7.0              4.6790255     0.77542619959    20.0    19.0    0.170366326634   0.179332975404   
atlas_conf_2016_066  SRL               3.0       0.78      0.18             0.0           0.164250038401   6.34    3.17    0                0                
atlas_conf_2016_076  SR_t_sf           5.0       4.7       2.0              0.00193388    0.164250846784   6.3     6.1     0                0                
atlas_conf_2016_096  2LASF             56.0      70.0      12.0             1.81459114    0.36748879945    17.7    24.6    0.0684694637798  0.049264614183   
atlas_conf_2017_060  IM5               13680.0   12720.0   340.0            86.112067523  5.19931610979    1520.0  722.0   0.0510428875677  0.107458710669   
atlas_conf_2018_041  SR-Gtt-1L-B       0.0       0.64      0.34             0.0           0.98549881699    2.87    2.94    0                0                
atlas_conf_2019_020  SR-low            51.0      46.0      5.0              0.01088297    1.71660237041    21.0    18.0    0                0                
atlas_conf_2019_040  MB-SSd-2-1000-22  1289.0    1290.0    50.0             18.24332391   4.70198212467    116.0   119.0   0.0907937347029  0.0885048170214  
atlas_conf_2020_048  EM04              102888.0  100900.0  1200.0           515.6266352   24.9942648775    3986.0  2400.0  0.119075775414   0.197765017      
